Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/32,-,21/31,-,2/1,-
2024,6/6,-,6/6,-,-,-
2023,10/18,-,8/17,-,2/1,-
2022,6/7,-,6/7,-,-,-
2020,1/1,-,1/1,-,-,-
