Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,531/381,436/296,72/54,17/23,6/8,-
2024,3/3,3/3,-,-,-,-
2023,6/3,2/1,3/1,1/1,-,-
2022,16/14,16/12,0/2,-,-,-
2021,8/4,0/1,7/2,1/1,-,-
2020,17/13,17/13,-,-,-,-
2019,13/16,12/14,0/2,1/0,-,-
2018,4/11,2/8,0/1,2/2,-,-
2017,18/27,18/25,0/1,-,0/1,-
2016,36/44,28/27,6/11,2/4,0/2,-
2015,72/31,55/21,15/7,0/2,2/1,-
2014,39/22,35/15,2/2,2/4,0/1,-
2013,0/3,0/2,-,-,0/1,-
2012,42/33,31/25,4/4,3/3,4/1,-
2011,44/23,32/16,7/4,5/3,-,-
2010,33/28,30/21,3/5,0/1,0/1,-
2009,43/31,39/26,4/4,0/1,-,-
2008,86/36,73/31,13/4,0/1,-,-
2007,42/29,34/25,8/4,-,-,-
2006,2/1,2/1,-,-,-,-
2005,6/7,6/7,-,-,-,-
2004,1/2,1/2,-,-,-,-
