Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,197/108,144/76,41/29,-,1/2,11/1
2024,33/19,20/8,8/10,-,0/1,5/0
2023,55/27,44/20,4/5,-,1/1,6/1
2022,50/26,42/21,8/5,-,-,-
2021,41/17,20/9,21/8,-,-,-
2019,10/11,10/11,-,-,-,-
2018,4/4,4/4,-,-,-,-
2017,4/4,4/3,0/1,-,-,-
