Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,25/35,23/27,2/8,-,-,-
2024,17/19,15/13,2/6,-,-,-
2023,6/9,6/7,0/2,-,-,-
2022,0/6,0/6,-,-,-,-
2021,2/1,2/1,-,-,-,-
