Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,54/119,10/30,44/88,0/1,-,-
2024,8/23,0/4,8/19,-,-,-
2023,21/32,1/7,20/25,-,-,-
2022,17/34,8/14,9/19,0/1,-,-
2021,5/15,-,5/15,-,-,-
2020,1/7,0/1,1/6,-,-,-
2019,0/1,-,0/1,-,-,-
2018,2/7,1/4,1/3,-,-,-
