Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/35,38/27,0/2,-,-,8/6
2024,35/16,31/14,-,-,-,4/2
2023,11/16,7/10,0/2,-,-,4/4
2022,0/3,0/3,-,-,-,-
