Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,300/170,4/1,262/150,31/17,3/2,-
2024,25/13,-,17/10,5/1,3/2,-
2023,5/4,-,5/4,-,-,-
2022,30/14,-,29/13,1/1,-,-
2021,21/19,-,13/18,8/1,-,-
2020,3/3,-,1/1,2/2,-,-
2019,51/24,-,47/22,4/2,-,-
2018,33/23,-,33/21,0/2,-,-
2017,40/24,4/1,35/21,1/2,-,-
2016,53/24,-,49/21,4/3,-,-
2015,15/8,-,12/6,3/2,-,-
2014,9/5,-,6/4,3/1,-,-
2013,10/6,-,10/6,-,-,-
2012,5/3,-,5/3,-,-,-
