Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Draper J.,3,,,,,,14,5,60%,81% (65/80),53% (28/53),50% (2/4),32% (25/77),46% (24/52),55% (6/11),38,23,65% (15/23),70% (93/133),38% (49/129),54% (142/262),8,0,90% (19/21),29% (6/21),60% (25/42),2480,"['4', '3']","['2', '1', '6', '5']","['3', '4']","['4', '2', '6', '2']",[],1.02
25.08.,Gomez F. A.,1,,,,,,15,6,60%,68% (52/77),54% (28/52),45% (5/11),19% (15/80),47% (25/53),50% (2/4),50,46,79% (19/24),62% (80/129),30% (40/133),46% (120/262),2,1,71% (15/21),10% (2/21),40% (17/42),2416,[],"['5', '5']","['2', '0']",[],[],16.40
03.07.,Cilic M.,3,,,,,,16,6,57%,78% (46/59),60% (27/45),71% (5/7),26% (18/68),54% (22/41),33% (3/9),53,34,64% (9/14),70% (73/104),37% (40/109),53% (113/213),6,0,89% (16/18),17% (3/18),53% (19/36),2916,"['6', '4']","['2', '0']",[],"['6', '4']",[],6.54
03.07.,Draper J.,1,,,,,,14,0,62%,74% (50/68),46% (19/41),67% (6/9),22% (13/59),40% (18/45),29% (2/7),29,22,80% (8/10),63% (69/109),30% (31/104),47% (100/213),4,0,83% (15/18),11% (2/18),47% (17/36),3199,[],[],"['3', '1', '5', '1']",[],[],1.12
01.07.,Draper J.,2,,,,,,10,1,66%,93% (25/27),79% (11/14),0% (0/0),40% (17/42),57% (12/21),100% (5/5),25,22,78% (7/9),88% (36/41),46% (29/63),63% (65/104),8,0,100% (8/8),67% (6/9),82% (14/17),1541,"['1', '0', '4', '1']","['1', '0', '4', '1']","['2', '1']",[],[],1.01
01.07.,Baez S.,0,,,,,,1,3,67%,60% (25/42),43% (9/21),0% (0/5),7% (2/27),21% (3/14),0% (0/0),4,27,33% (2/6),54% (34/63),12% (5/41),38% (39/104),2,0,33% (3/9),0% (0/8),18% (3/17),1481,[],[],[],[],[],32.00
26.06.,Draper J.,2,,,,,,[],"['4', '2']","['1', '0', '4', '1', '9', '4']",[],[],1.77
26.06.,Rune H.,1,,,,,,"['1', '0']",[],[],[],[],2.05
21.06.,Lehecka J.,2,,,,,,16,4,60%,77% (44/57),58% (22/38),83% (5/6),210 km/h,177 km/h,18% (10/55),48% (16/33),40% (2/5),36,18,80% (16/20),69% (66/95),30% (26/88),50% (92/183),7,0,94% (15/16),13% (2/16),53% (17/32),"['1', '0']",[],"['6', '5']",[],[],2.78
21.06.,Draper J.,1,,,,,,14,3,63%,82% (45/55),52% (17/33),60% (3/5),197 km/h,168 km/h,23% (13/57),42% (16/38),17% (1/6),28,10,69% (9/13),70% (62/88),31% (29/95),50% (91/183),3,0,88% (14/16),6% (1/16),47% (15/32),[],"['6', '4']",[],[],[],1.46
20.06.,Draper J.,2,,,,,,14,2,67%,78% (53/68),53% (18/34),91% (10/11),198 km/h,166 km/h,27% (18/66),46% (18/39),20% (2/10),41,37,86% (12/14),70% (72/103),34% (36/105),52% (108/208),5,0,94% (15/16),13% (2/16),53% (17/32),"['2', '1']",[],"['4', '3']",[],[],1.22
20.06.,Nakashima B.,1,,,,,,13,2,63%,73% (48/66),54% (21/39),80% (8/10),196 km/h,166 km/h,22% (15/68),47% (16/34),9% (1/11),29,32,78% (14/18),66% (69/105),30% (31/103),48% (100/208),5,0,88% (14/16),6% (1/16),47% (15/32),[],"['7', '5']",[],[],[],4.39
18.06.,Draper J.,2,,,,,,14,3,65%,81% (44/54),52% (15/29),50% (1/2),197 km/h,161 km/h,21% (12/56),51% (20/39),25% (2/8),33,29,92% (11/12),71% (59/83),34% (32/95),51% (91/178),6,0,93% (13/14),13% (2/15),52% (15/29),[],"['4', '2', '6', '2']",[],[],[],1.15
18.06.,Popyrin A.,1,,,,,,6,5,59%,79% (44/56),49% (19/39),75% (6/8),203 km/h,163 km/h,19% (10/54),48% (14/29),50% (1/2),31,36,73% (16/22),66% (63/95),29% (24/83),49% (87/178),4,2,87% (13/15),7% (1/14),48% (14/29),"['5', '3']",[],[],[],[],5.50
17.06.,Draper J.,2,,,,,,8,5,64%,93% (27/29),38% (6/16),0% (0/0),202 km/h,171 km/h,38% (15/39),61% (14/23),50% (4/8),18,25,75% (3/4),73% (33/45),47% (29/62),58% (62/107),7,0,100% (8/8),50% (4/8),75% (12/16),"['4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],1.07
17.06.,Brooksby J.,0,,,,,,2,1,63%,62% (24/39),39% (9/23),50% (4/8),178 km/h,140 km/h,7% (2/29),63% (10/16),0% (0/0),9,22,67% (6/9),53% (33/62),27% (12/45),42% (45/107),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],8.60
02.06.,Bublik A.,3,,,,,,8,7,60%,81% (62/77),44% (23/52),75% (6/8),200 km/h,171 km/h,29% (21/73),58% (19/33),83% (5/6),68,39,83% (33/40),66% (84/127),38% (40/106),54% (125/233),6,0,90% (18/20),26% (5/19),59% (23/39),[],"['1', '1', '4', '2']","['2', '1', '4', '1']","['1', '0']",[],8.39
02.06.,Draper J.,1,,,,,,12,4,69%,71% (52/73),42% (14/33),17% (1/6),196 km/h,159 km/h,19% (15/77),56% (29/52),25% (2/8),37,25,42% (14/33),62% (66/106),34% (43/127),47% (110/233),4,1,74% (14/19),10% (2/20),41% (16/39),"['6', '5']","['1', '0']",[],[],[],1.08
