Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,393/218,89/50,233/134,17/10,50/19,4/5
2024,22/10,13/4,5/4,-,4/2,-
2023,33/15,5/3,19/11,-,9/1,-
2022,30/20,4/4,25/12,0/2,1/1,0/1
2021,11/15,3/4,3/9,-,5/2,-
2020,10/5,2/1,8/4,-,-,-
2019,28/15,10/3,15/8,1/1,1/1,1/2
2018,29/14,10/4,15/8,1/1,2/1,1/0
2017,17/10,1/4,15/5,-,1/1,-
2016,47/17,10/4,24/10,4/2,8/1,1/0
2015,31/18,9/4,17/11,1/1,4/2,-
2014,31/23,5/5,17/14,-,8/2,1/2
2013,34/21,7/6,19/11,2/1,6/3,-
2012,34/16,1/2,24/10,8/2,1/2,-
2011,13/10,-,13/10,-,-,-
2010,21/6,8/1,13/5,-,-,-
2009,2/3,1/1,1/2,-,-,-
