Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,240/258,120/141,37/43,83/73,0/1,-
2024,3/9,3/8,-,0/1,-,-
2023,19/18,17/16,-,2/2,-,-
2022,1/5,0/2,-,1/3,-,-
2021,11/10,3/3,-,8/7,-,-
2020,16/17,5/7,10/9,1/1,-,-
2019,3/4,-,2/2,1/2,-,-
2018,4/2,-,-,4/2,-,-
2017,16/20,8/11,-,8/9,-,-
2016,14/23,9/17,2/5,3/1,-,-
2015,31/31,18/16,4/3,9/11,0/1,-
2014,22/27,5/8,2/6,15/13,-,-
2013,45/33,22/16,9/8,14/9,-,-
2012,28/25,10/13,8/5,10/7,-,-
2011,17/17,12/10,0/5,5/2,-,-
2010,7/10,6/9,-,1/1,-,-
2009,2/5,1/3,-,1/2,-,-
2008,1/2,1/2,-,-,-,-
