Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/14,-,10/10,-,-,10/4
2024,12/6,-,7/5,-,-,5/1
2023,2/2,-,2/2,-,-,-
2022,5/3,-,-,-,-,5/3
2021,1/3,-,1/3,-,-,-
