Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,483/403,109/113,295/206,41/49,27/25,11/10
2024,19/21,0/3,18/17,-,0/1,1/0
2023,25/22,0/6,25/12,0/3,0/1,-
2022,15/34,4/8,4/13,3/6,2/6,2/1
2021,45/32,8/7,23/11,7/9,7/4,0/1
2020,14/18,0/5,9/8,5/4,-,0/1
2019,33/37,5/4,11/20,11/8,5/4,1/1
2018,32/38,5/7,13/20,6/4,7/5,1/2
2017,50/34,9/8,28/19,3/4,5/2,5/1
2016,41/34,12/9,22/12,5/8,1/2,1/3
2015,54/28,7/4,46/21,1/3,-,-
2014,64/25,15/6,49/19,-,-,-
2013,29/25,3/12,26/13,-,-,-
2012,22/23,9/13,13/10,-,-,-
2011,39/29,32/20,7/9,-,-,-
2010,0/2,0/1,0/1,-,-,-
2009,1/1,-,1/1,-,-,-
