Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,17/24,17/23,0/1,-,-,-
2024,11/12,11/11,0/1,-,-,-
2023,5/9,5/9,-,-,-,-
2022,1/3,1/3,-,-,-,-
