Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,259/172,111/85,27/22,114/54,-,7/11
2024,28/22,7/7,9/7,9/7,-,3/1
2023,53/27,16/9,5/5,29/12,-,3/1
2022,52/37,14/17,6/4,32/12,-,0/4
2021,39/27,25/17,-,14/10,-,-
2020,15/15,1/2,7/6,6/4,-,1/3
2019,40/22,22/16,-,18/4,-,0/2
2018,21/13,19/11,-,2/2,-,-
2017,8/6,4/4,-,4/2,-,-
2016,3/2,3/1,-,0/1,-,-
2015,0/1,0/1,-,-,-,-
