Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,560/369,484/270,68/82,8/17,-,-
2024,39/20,39/17,0/3,-,-,-
2023,48/36,35/21,13/10,0/5,-,-
2022,40/29,37/27,3/2,-,-,-
2021,10/7,10/6,-,0/1,-,-
2020,33/42,-,33/42,-,-,-
2019,44/27,43/24,1/2,0/1,-,-
2018,31/28,30/26,1/2,-,-,-
2017,43/31,43/30,-,0/1,-,-
2016,52/32,52/29,0/2,0/1,-,-
2015,75/28,75/26,-,0/2,-,-
2014,34/28,30/22,4/5,0/1,-,-
2013,61/30,49/21,6/5,6/4,-,-
2012,35/22,26/14,7/7,2/1,-,-
2011,15/7,15/7,-,-,-,-
2009,0/1,-,0/1,-,-,-
2008,0/1,-,0/1,-,-,-
