Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,149/87,24/12,104/64,19/7,-,2/4
2024,32/20,4/1,26/18,0/1,-,2/0
2023,30/23,5/2,20/16,5/1,-,0/4
2022,21/17,2/2,14/12,5/3,-,-
2021,52/19,13/7,30/10,9/2,-,-
2019,9/4,-,9/4,-,-,-
2018,1/1,-,1/1,-,-,-
2017,4/3,-,4/3,-,-,-
