Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,94/105,7/3,87/102,-,-,-
2024,5/5,-,5/5,-,-,-
2023,13/14,-,13/14,-,-,-
2022,11/11,-,11/11,-,-,-
2021,9/7,-,9/7,-,-,-
2020,2/5,-,2/5,-,-,-
2019,18/18,7/3,11/15,-,-,-
2018,20/22,-,20/22,-,-,-
2017,13/13,-,13/13,-,-,-
2016,3/7,-,3/7,-,-,-
2015,0/3,-,0/3,-,-,-
