Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Riedi L.,3,,,,,,15,4,66%,80% (44/55),54% (15/28),100% (8/8),193 km/h,150 km/h,36% (19/53),56% (27/48),33% (5/15),54,25,73% (22/30),71% (59/83),46% (46/101),57% (105/184),8,0,100% (13/13),36% (5/14),67% (18/27),1559,"['2', '1']","['1', '0', '5', '2']","['1', '0', '6', '3']",[],[],1.59
26.08.,Martinez P.,0,,,,,,0,10,52%,64% (34/53),44% (21/48),67% (10/15),166 km/h,140 km/h,20% (11/55),46% (13/28),0% (0/8),11,27,61% (14/23),54% (55/101),29% (24/83),43% (79/184),2,0,64% (9/14),0% (0/13),33% (9/27),1523,[],[],[],[],[],2.40
19.08.,Mpetshi Perricard G.,2,,,,,,11,4,74%,75% (52/69),46% (11/24),25% (1/4),25% (11/44),30% (8/27),100% (2/2),34,46,63% (12/19),68% (63/93),27% (19/71),50% (82/164),7,0,80% (12/15),14% (2/14),48% (14/29),"['1', '1']","['3', '1']",[],[],[],1.46
19.08.,Martinez P.,1,,,,,,2,4,62%,75% (33/44),70% (19/27),0% (0/2),25% (17/69),54% (13/24),75% (3/4),15,14,83% (5/6),73% (52/71),32% (30/93),50% (82/164),3,2,86% (12/14),20% (3/15),52% (15/29),"['1', '0', '2', '1', '5', '2']",[],[],[],[],2.78
17.08.,Martinez P.,2,,,,,,2,2,60%,70% (26/37),48% (12/25),80% (8/10),25% (7/28),72% (21/29),56% (5/9),21,24,90% (9/10),61% (38/62),49% (28/57),55% (66/119),6,0,78% (7/9),56% (5/9),67% (12/18),"['3', '1', '5', '1']","['1', '0', '5', '2', '6', '3']",[],[],[],1.25
17.08.,Goffin D.,0,,,,,,8,5,49%,75% (21/28),28% (8/29),44% (4/9),30% (11/37),52% (13/25),20% (2/10),19,34,38% (3/8),51% (29/57),39% (24/62),45% (53/119),4,3,44% (4/9),22% (2/9),33% (6/18),"['2', '5']","['3', '5']",[],[],[],18.5
09.08.,Paul T.,2,,,,,,8,2,59%,76% (25/33),57% (13/23),100% (6/6),179 km/h,148 km/h,49% (18/37),54% (15/28),40% (4/10),33,27,53% (8/15),68% (38/56),51% (33/65),59% (71/121),6,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.17
09.08.,Martinez P.,0,,,,,,0,4,57%,51% (19/37),46% (13/28),60% (6/10),168 km/h,151 km/h,24% (8/33),43% (10/23),0% (0/6),8,22,70% (7/10),49% (32/65),32% (18/56),41% (50/121),4,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],16.5
07.08.,Martinez P.,2,,,,,,3,6,60%,61% (34/56),55% (21/38),70% (7/10),169 km/h,147 km/h,26% (12/47),50% (13/26),50% (3/6),9,28,25% (1/4),59% (55/94),34% (25/73),48% (80/167),5,0,77% (10/13),23% (3/13),50% (13/26),[],"['3', '3', '6', '4']","['4', '2']",[],[],18.5
07.08.,Jarry N.,1,,,,,,15,5,64%,74% (35/47),50% (13/26),50% (3/6),200 km/h,168 km/h,39% (22/56),45% (17/38),30% (3/10),38,48,76% (16/21),66% (48/73),41% (39/94),52% (87/167),5,0,77% (10/13),23% (3/13),50% (13/26),"['2', '0', '4', '0']","['1', '0']",[],[],[],1.24
28.07.,Vukic A.,2,,,,,,8,2,53%,77% (27/35),42% (13/31),40% (2/5),184 km/h,157 km/h,49% (26/53),48% (11/23),50% (5/10),38,41,79% (11/14),61% (40/66),49% (37/76),54% (77/142),6,0,73% (8/11),50% (5/10),62% (13/21),"['3', '1', '5', '5', '7', '5']","['2', '0', '4', '2']",[],[],[],1.35
28.07.,Martinez P.,0,,,,,,1,3,70%,51% (27/53),52% (12/23),50% (5/10),143 km/h,136 km/h,23% (8/35),58% (18/31),60% (3/5),12,28,83% (5/6),51% (39/76),39% (26/66),46% (65/142),4,0,50% (5/10),27% (3/11),38% (8/21),"['2', '3', '5', '4']","['2', '3']",[],[],[],3.24
23.07.,Struff J-L.,2,,,,,,9,1,51%,82% (18/22),57% (12/21),0% (0/1),45% (21/47),68% (13/19),33% (5/15),24,30,100% (3/3),70% (30/43),52% (34/66),59% (64/109),5,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '2', '1', '4', '1']","['2', '1', '4', '1']",[],[],[],1.46
23.07.,Martinez P.,0,,,,,,0,6,71%,55% (26/47),32% (6/19),67% (10/15),18% (4/22),43% (9/21),100% (1/1),7,30,67% (2/3),48% (32/66),30% (13/43),41% (45/109),5,0,38% (3/8),13% (1/8),25% (4/16),"['1', '1']",[],[],[],[],2.78
05.07.,Sinner J.,3,,,,,,11,3,58%,79% (34/43),61% (19/31),100% (4/4),47% (28/60),63% (12/19),43% (6/14),46,31,72% (18/25),72% (53/74),51% (40/79),61% (93/153),6,0,100% (12/12),55% (6/11),78% (18/23),2647,"['2', '0', '4', '0']","['3', '2', '6', '3']","['2', '0', '4', '0']",[],[],-
05.07.,Martinez P.,0,,,,,,0,0,76%,53% (32/60),37% (7/19),57% (8/14),21% (9/43),39% (12/31),0% (0/4),12,23,64% (14/22),49% (39/79),28% (21/74),39% (60/153),4,2,45% (5/11),0% (0/12),22% (5/23),2637,[],[],[],[],[],41.00
03.07.,Martinez P.,3,,,,,,0,5,66%,65% (55/85),55% (24/44),67% (6/9),27% (18/67),60% (25/42),50% (5/10),19,33,59% (29/49),61% (79/129),39% (43/109),51% (122/238),7,0,83% (15/18),28% (5/18),56% (20/36),4800,"['6', '5']","['1', '2', '6', '5']","['1', '0', '3', '2']",[],[],2.63
03.07.,Navone M.,0,,,,,,5,3,61%,73% (49/67),40% (17/42),50% (5/10),35% (30/85),45% (20/44),33% (3/9),44,60,65% (34/52),61% (66/109),39% (50/129),49% (116/238),3,0,72% (13/18),17% (3/18),44% (16/36),4644,[],"['2', '0']","['1', '1', '4', '4']",[],[],1.50
01.07.,Martinez P.,3,,,,,,0,4,71%,59% (41/70),59% (17/29),50% (6/12),36% (17/47),65% (31/48),64% (9/14),23,18,77% (23/30),59% (58/99),51% (48/95),55% (106/194),8,0,65% (11/17),53% (9/17),59% (20/34),3120,[],"['1', '0', '4', '1', '5', '2']","['1', '0', '5', '4']","['1', '0', '2', '1', '3', '2', '5', '2']",[],3.53
01.07.,Loffhagen G.,1,,,,,,16,5,49%,64% (30/47),35% (17/48),36% (5/14),41% (29/70),41% (12/29),50% (6/12),46,58,56% (14/25),49% (47/95),41% (41/99),45% (88/194),2,0,47% (8/17),35% (6/17),41% (14/34),3005,"['3', '1', '6', '2']","['2', '4']","['1', '1']","['1', '1', '2', '2']",[],1.31
23.06.,Moutet C.,2,,,,,,4,4,66%,74% (46/62),44% (14/32),80% (8/10),37% (20/54),63% (17/27),36% (5/14),42,37,78% (14/18),64% (60/94),46% (37/81),55% (97/175),7,0,85% (11/13),42% (5/12),64% (16/25),[],"['2', '2', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],1.23
23.06.,Martinez P.,1,,,,,,0,4,67%,63% (34/54),37% (10/27),64% (9/14),26% (16/62),56% (18/32),20% (2/10),14,31,71% (22/31),54% (44/81),36% (34/94),45% (78/175),3,1,58% (7/12),15% (2/13),36% (9/25),"['4', '3']","['2', '1']",[],[],[],4.34
17.06.,Etcheverry T. M.,2,,,,,,9,0,73%,79% (23/29),82% (9/11),0% (0/0),29% (10/35),78% (21/27),33% (4/12),20,16,100% (7/7),80% (32/40),50% (31/62),62% (63/102),8,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['5', '3']",[],[],[],1.40
17.06.,Martinez P.,0,,,,,,1,7,56%,71% (25/35),22% (6/27),67% (8/12),21% (6/29),18% (2/11),0% (0/0),12,27,54% (7/13),50% (31/62),20% (8/40),38% (39/102),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.00
