Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,401/292,214/160,30/31,157/101,-,-
2024,24/20,20/11,1/2,3/7,-,-
2023,32/38,18/21,4/7,10/10,-,-
2022,46/28,32/19,4/2,10/7,-,-
2021,34/25,23/17,1/2,10/6,-,-
2020,35/11,15/4,2/1,18/6,-,-
2019,29/19,11/10,-,18/9,-,-
2018,41/23,26/14,0/1,15/8,-,-
2017,49/29,19/14,1/2,29/13,-,-
2016,32/33,9/16,6/6,17/11,-,-
2015,25/24,9/12,6/4,10/8,-,-
2014,33/19,16/6,5/4,12/9,-,-
2013,8/13,3/7,-,5/6,-,-
2012,8/4,8/4,-,-,-,-
2011,1/1,1/1,-,-,-,-
2010,4/4,4/3,-,0/1,-,-
2009,0/1,0/1,-,-,-,-
