Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,201/123,31/30,142/73,28/20,-,-
2024,12/11,0/2,12/9,-,-,-
2023,16/15,-,16/15,-,-,-
2022,27/20,4/5,19/10,4/5,-,-
2021,40/16,3/5,33/10,4/1,-,-
2020,18/13,2/3,12/7,4/3,-,-
2019,27/13,7/4,13/5,7/4,-,-
2018,31/18,13/8,16/8,2/2,-,-
2017,22/12,1/2,16/7,5/3,-,-
2016,6/4,1/1,5/2,0/1,-,-
2015,2/1,-,-,2/1,-,-
