Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,292/210,43/49,171/113,67/38,11/10,-
2024,25/15,1/5,11/5,13/5,-,-
2023,23/27,3/4,7/14,13/9,-,-
2022,29/22,5/6,14/11,8/3,2/2,-
2021,28/20,1/4,23/14,4/1,0/1,-
2020,5/12,2/3,1/5,2/4,-,-
2019,34/20,3/4,8/6,19/7,4/3,-
2018,37/20,7/5,27/12,3/3,-,-
2017,20/17,6/6,14/8,0/3,-,-
2016,20/23,6/8,5/9,4/2,5/4,-
2015,34/14,5/1,29/13,-,-,-
2014,1/2,1/1,0/1,-,-,-
2013,16/7,-,16/7,-,-,-
2011,14/8,3/1,10/6,1/1,-,-
2010,3/1,-,3/1,-,-,-
2009,3/2,0/1,3/1,-,-,-
