Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,353/206,284/163,67/40,-,-,2/3
2024,17/13,16/10,1/3,-,-,-
2023,10/4,10/4,-,-,-,-
2022,0/1,0/1,-,-,-,-
2021,17/25,14/21,3/4,-,-,-
2020,5/3,1/1,3/2,-,-,1/0
2019,19/13,16/8,2/2,-,-,1/3
2018,49/18,32/11,17/7,-,-,-
2017,18/18,18/17,0/1,-,-,-
2016,48/26,35/15,13/11,-,-,-
2015,31/12,19/7,12/5,-,-,-
2014,55/21,46/20,9/1,-,-,-
2013,34/20,27/16,7/4,-,-,-
2012,27/19,27/19,-,-,-,-
2011,14/6,14/6,-,-,-,-
2010,4/4,4/4,-,-,-,-
2009,5/3,5/3,-,-,-,-
