Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Beijing (China),hard,header
02.10. 13:35,Linette M.,0,1,3,,,,2,0,75%,38% (15/40),38% (5/13),36% (4/11),44% (12/27),39% (9/23),38% (3/8),4,38% (20/53),42% (21/50),40% (41/103),1,13% (1/8),38% (3/8),25% (4/16),"['1', '5']","['1', '0', '2', '3']",[],[],[],3.74
02.10. 13:35,Andreeva M.,2,6,6,,,,1,3,54%,56% (15/27),61% (14/23),63% (5/8),63% (25/40),62% (8/13),64% (7/11),11,58% (29/50),62% (33/53),60% (62/103),5,63% (5/8),88% (7/8),75% (12/16),"['1', '0', '3', '0', '5', '0', '6', '1']","['1', '1', '3', '1', '4', '2']",[],[],[],1.29
30.09. 12:10,Linette M.,2,6,6,,,,3,0,56%,65% (26/40),44% (14/32),78% (7/9),54% (19/35),68% (15/22),67% (6/9),8,56% (40/72),60% (34/57),57% (74/129),9,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '3', '0', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],3.42
30.09. 12:10,Paolini J.,0,4,0,,,,1,3,61%,46% (16/35),32% (7/22),33% (3/9),35% (14/40),56% (18/32),22% (2/9),6,40% (23/57),44% (32/72),43% (55/129),4,25% (2/8),25% (2/8),25% (4/16),"['1', '3', '3', '3']",[],[],[],[],1.32
28.09. 08:40,Linette M.,2,6,4,6,,,5,1,61%,66% (37/56),50% (18/36),43% (3/7),42% (24/57),54% (27/50),42% (5/12),11,60% (55/92),48% (51/107),53% (106/199),5,73% (11/15),36% (5/14),55% (16/29),"['3', '3', '6', '4']","['3', '5']","['2', '2', '4', '2']",[],[],1.36
28.09. 08:40,Uchijima M.,1,4,6,3,,,0,10,53%,58% (33/57),46% (23/50),58% (7/12),34% (19/56),50% (18/36),57% (4/7),7,52% (56/107),40% (37/92),47% (93/199),5,64% (9/14),27% (4/15),45% (13/29),"['3', '2']","['2', '1', '4', '1']","['1', '0']",[],[],3.20
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
19.09. 13:55,Linette M.,0,6^5,4,,,,4,1,70%,57% (38/67),59% (17/29),73% (8/11),30% (13/44),45% (13/29),100% (2/2),5,57% (54/94),37% (27/73),49% (81/167),3,73% (8/11),18% (2/11),45% (10/22),"['5', '5']","['2', '3']",[],[],[],1.25
19.09. 13:55,Sramkova R.,2,7^7,6,,,,4,3,60%,70% (31/44),52% (15/29),0% (0/2),43% (29/67),41% (12/29),27% (3/11),5,63% (46/73),43% (40/94),51% (86/167),3,82% (9/11),27% (3/11),55% (12/22),"['4', '3']","['3', '1', '6', '4']",[],[],[],4.09
17.09. 16:40,Linette M.,2,6,7,,,,1,1,73%,51% (22/43),56% (9/16),44% (4/9),57% (27/47),63% (17/27),73% (8/11),9,53% (31/59),59% (44/74),56% (75/133),4,50% (5/10),80% (8/10),65% (13/20),"['2', '0', '3', '1', '4', '2', '6', '2']","['2', '2', '3', '3', '5', '3', '7', '5']",[],[],[],1.49
