Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,529/344,180/135,253/136,96/72,0/1,-
2024,9/8,9/7,-,0/1,-,-
2023,36/44,14/21,6/11,16/11,0/1,-
2022,47/27,29/13,15/8,3/6,-,-
2021,42/20,6/6,27/10,9/4,-,-
2020,16/13,6/5,10/7,0/1,-,-
2019,11/18,1/1,8/12,2/5,-,-
2018,36/20,3/3,17/11,16/6,-,-
2017,44/22,15/10,18/2,11/10,-,-
2016,53/26,16/14,27/8,10/4,-,-
2015,51/26,20/9,23/13,8/4,-,-
2014,33/24,12/7,21/15,0/2,-,-
2013,39/25,4/3,34/16,1/6,-,-
2012,49/25,14/11,20/7,15/7,-,-
2011,45/25,25/14,18/9,2/2,-,-
2010,14/14,6/7,5/4,3/3,-,-
2009,4/7,0/4,4/3,-,-,-
