Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,144/95,78/59,28/16,26/15,-,12/5
2024,35/27,21/18,8/3,3/5,-,3/1
2023,36/22,16/15,4/3,16/4,-,-
2022,26/13,17/8,0/1,-,-,9/4
2021,23/12,13/9,10/3,-,-,-
2020,3/3,1/1,2/2,-,-,-
2019,2/5,2/4,0/1,-,-,-
2018,15/10,8/4,-,7/6,-,-
2015,4/3,-,4/3,-,-,-
