Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,408/311,127/85,212/169,18/19,44/30,7/8
2024,14/16,2/4,4/9,-,8/3,-
2023,7/3,5/0,2/2,-,-,0/1
2022,38/27,7/6,19/14,3/2,7/3,2/2
2021,29/23,10/6,11/12,2/2,6/3,-
2020,12/18,2/3,8/13,1/1,-,1/1
2019,31/30,7/7,19/17,0/1,4/4,1/1
2018,36/24,7/6,24/14,0/1,5/3,-
2017,29/20,4/6,23/11,2/3,-,-
2016,0/2,-,0/2,-,-,-
2015,23/29,7/7,14/18,-,2/4,-
2014,24/26,10/7,10/14,2/2,2/3,-
2013,48/23,15/8,20/9,7/4,6/2,-
2012,7/6,5/4,2/1,-,0/1,-
2011,39/26,14/6,23/14,0/2,1/2,1/2
2010,35/20,21/6,8/10,1/1,3/2,2/1
2009,30/12,10/5,20/7,-,-,-
2008,6/5,1/3,5/2,-,-,-
2007,0/1,0/1,-,-,-,-
