Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,68/42,57/30,-,-,-,11/12
2023,15/16,6/6,-,-,-,9/10
2022,25/10,23/8,-,-,-,2/2
2021,4/1,4/1,-,-,-,-
2020,3/2,3/2,-,-,-,-
2019,7/4,7/4,-,-,-,-
2018,13/7,13/7,-,-,-,-
2017,1/2,1/2,-,-,-,-
