Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
09.07.,Sanchez Jover C.,2,,,,,,"['2', '1']",[],[],[],[],1.13
09.07.,Recek D.,0,,,,,,[],[],[],[],[],5.10
02.07.,Nesterov P.,2,,,,,,"['6', '4']",[],"['3', '3']",[],[],1.17
02.07.,Recek D.,1,,,,,,[],"['3', '2', '5', '2']","['1', '0']",[],[],4.48
26.02.,Mikrut L.,2,,,,,,"['1', '1', '3', '5']","['3', '1', '5', '3', '6', '4']","['5', '3']",[],[],1.19
26.02.,Recek D.,1,,,,,,"['1', '0', '2', '1', '4', '1']","['3', '4', '4', '5']",[],[],[],4.24
08.01.,Hoeyeraal H.,2,,,,,,[],"['4', '5']","['3', '1']",[],[],2.26
08.01.,Recek D.,1,,,,,,"['1', '0', '6', '3']","['4', '2']",[],[],[],1.58
07.01.,Recek D.,2,,,,,,"['1', '1', '7', '5']","['3', '1', '4', '2', '6', '4']",[],[],[],2.08
07.01.,Filip J.,0,,,,,,"['1', '0']","['2', '3', '4', '5']",[],[],[],1.69
18.09.2024,Siniakov D.,2,,,,,,"['4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],-
18.09.2024,Recek D.,0,,,,,,[],[],[],[],[],-
10.07.2024,Wiskandt M.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '4', '3']",[],[],[],1.45
10.07.2024,Recek D.,0,,,,,,[],"['2', '2', '5', '5']",[],[],[],2.62
04.07.2024,Alves M.,2,,,,,,[],"['2', '1', '4', '1']",[],[],[],1.11
04.07.2024,Recek D.,0,,,,,,[],[],[],[],[],5.99
03.07.2024,Recek D.,2,,,,,,"['2', '0', '5', '3']","['2', '1', '5', '2']",[],[],[],1.45
03.07.2024,Al Azmeh T.,0,,,,,,"['2', '3']",[],[],[],[],2.62
24.08.2023,Carboni L.,2,,,,,,"['1', '0', '3', '0', '6', '5']","['1', '0', '5', '4']",[],[],[],1.42
24.08.2023,Recek D.,0,,,,,,"['1', '3', '5', '5']","['1', '1']",[],[],[],2.70
22.08.2023,Recek D.,2,,,,,,"['2', '0', '5', '1']","['1', '2', '5', '4']",[],[],[],1.90
22.08.2023,Noce G. M.,0,,,,,,[],"['2', '0']",[],[],[],1.81
16.08.2023,Wiskandt M.,2,,,,,,"['4', '2']","['2', '1', '5', '2']",[],[],[],1.67
16.08.2023,Recek D.,0,,,,,,[],[],[],[],[],2.10
31.07.2023,Bittoun C.,2,,,,,,3,2,71%,71% (49/69),43% (12/28),33% (2/6),44% (28/64),50% (28/56),35% (6/17),63% (61/97),47% (56/120),54% (117/217),73% (11/15),40% (6/15),57% (17/30),"['2', '0', '3', '1']","['2', '2']","['1', '0', '3', '0', '5', '0']",[],[],1.31
31.07.2023,Recek D.,1,,,,,,7,4,53%,56% (36/64),50% (28/56),65% (11/17),29% (20/69),57% (16/28),67% (4/6),53% (64/120),37% (36/97),46% (100/217),60% (9/15),27% (4/15),43% (13/30),"['1', '2', '4', '5', '6', '5']","['1', '0']",[],[],[],3.29
30.07.2023,Recek D.,2,,,,,,3,4,49%,55% (23/42),45% (20/44),33% (3/9),40% (20/50),55% (26/47),50% (7/14),50% (43/86),47% (46/97),49% (89/183),57% (8/14),47% (7/15),52% (15/29),"['2', '1']","['2', '2', '4', '4', '6', '4']","['2', '0', '4', '0', '6', '4']",[],[],3.49
30.07.2023,Oberleitner N.,1,,,,,,3,5,52%,60% (30/50),45% (21/47),50% (7/14),45% (19/42),55% (24/44),67% (6/9),53% (51/97),50% (43/86),51% (94/183),53% (8/15),43% (6/14),48% (14/29),"['2', '2', '5', '3']","['2', '1', '3', '2']","['2', '5', '4', '5']",[],[],1.28
07.07.2023,Wessels L.,2,,,,,,"['4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.24
07.07.2023,Recek D.,0,,,,,,[],[],[],[],[],3.73
06.07.2023,Recek D.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['4', '3', '6', '3']",[],[],[],1.27
06.07.2023,Marysko V.,0,,,,,,"['2', '2']",[],[],[],[],3.48
05.07.2023,Recek D.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],2.31
05.07.2023,Welte M.,0,,,,,,[],[],[],[],[],1.56
19.04.2023,Barroso Campos A.,2,,,,,,"['4', '4', '7', '5']","['3', '3', '5', '3']",[],[],[],1.10
19.04.2023,Recek D.,0,,,,,,"['3', '2']","['1', '0']",[],[],[],6.05
11.04.2023,Wong C.,2,,,,,,"['2', '2']","['2', '0', '4', '0']","['4', '3', '6', '3']",[],[],1.40
11.04.2023,Recek D.,1,,,,,,"['1', '0', '3', '2', '5', '2']",[],[],[],[],2.78
26.01.2023,Opitz J.,2,,,,,,[],[],"['5', '5']",[],[],1.39
26.01.2023,Recek D.,1,,,,,,[],[],"['3', '2']",[],[],2.82
25.01.2023,Recek D.,2,,,,,,"['5', '3']","['4', '3']",[],[],[],-
25.01.2023,De Bakker T.,0,,,,,,[],[],[],[],[],-
01.09.2022,Handel T.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '1', '5', '1']",[],[],[],1.12
01.09.2022,Recek D.,0,,,,,,[],"['1', '2']",[],[],[],4.96
01.09.2022,Recek D.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.25
01.09.2022,Lipp M.,0,,,,,,"['2', '4']",[],[],[],[],3.70
31.07.2022,Prihodko O.,2,,,,,,4,5,71%,66% (44/67),67% (18/27),60% (3/5),33% (16/48),49% (21/43),71% (5/7),66% (62/94),41% (37/91),54% (99/185),87% (13/15),33% (5/15),60% (18/30),"['5', '5']","['1', '0', '4', '1']","['1', '0', '5', '4']",[],[],1.07
31.07.2022,Recek D.,1,,,,,,2,5,53%,67% (32/48),51% (22/43),29% (2/7),34% (23/67),33% (9/27),40% (2/5),59% (54/91),34% (32/94),46% (86/185),67% (10/15),13% (2/15),40% (12/30),"['5', '4']",[],"['2', '2']",[],[],7.80
07.07.2022,Schoolkate T.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.26
07.07.2022,Recek D.,0,,,,,,[],[],[],[],[],3.74
06.07.2022,Recek D.,2,,,,,,"['2', '4']","['4', '2', '6', '6']","['1', '0', '3', '0', '5', '0']",[],[],2.63
06.07.2022,Broska F.,1,,,,,,"['1', '0', '4', '1']","['4', '5', '6', '5']",[],[],[],1.47
05.05.2022,Onclin G.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '6', '5']",[],[],[],1.18
05.05.2022,Recek D.,0,,,,,,[],"['5', '5']",[],[],[],4.70
04.05.2022,Recek D.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['1', '1', '5', '3']",[],[],[],1.49
04.05.2022,Nincevic F.,0,,,,,,[],"['1', '0']",[],[],[],2.57
