Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,36/17,-,30/14,2/2,-,4/1
2024,11/6,-,11/6,-,-,-
2023,17/6,-,11/4,2/1,-,4/1
2022,8/4,-,8/3,0/1,-,-
2017,0/1,-,0/1,-,-,-
