Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/49,26/24,-,1/1,-,13/24
2024,23/17,21/14,-,-,-,2/3
2023,13/21,5/9,-,1/1,-,7/11
2022,0/4,0/1,-,-,-,0/3
2021,4/7,-,-,-,-,4/7
