Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.08.,Tiafoe F.,3,,,,,,19,2,52%,84% (47/56),44% (23/52),67% (4/6),39% (24/61),55% (22/40),33% (4/12),51,34,85% (17/20),65% (70/108),46% (46/101),56% (116/209),6,0,88% (14/16),29% (4/14),60% (18/30),1933,"['2', '0', '5', '3']","['2', '3']","['4', '2']",[],[],1.10
25.08.,Nishioka Y.,0,,,,,,5,0,60%,61% (37/61),45% (18/40),67% (8/12),16% (9/56),56% (29/52),33% (2/6),26,25,55% (11/20),54% (55/101),35% (38/108),44% (93/209),4,0,71% (10/14),13% (2/16),40% (12/30),2004,"['1', '2']","['3', '1']",[],[],[],7.03
13.08.,Rune H.,1,,,,,,5,4,53%,90% (19/21),47% (9/19),50% (1/2),180 km/h,164 km/h,44% (8/18),53% (16/30),60% (3/5),24,18,75% (3/4),70% (28/40),50% (24/48),59% (52/88),7,0,86% (6/7),43% (3/7),64% (9/14),"['2', '3', '5', '4']","['2', '1']",[],[],[],1.19
13.08.,Tiafoe F.,0,,,,,,2,1,38%,56% (10/18),47% (14/30),40% (2/5),190 km/h,152 km/h,10% (2/21),53% (10/19),50% (1/2),10,20,50% (3/6),50% (24/48),30% (12/40),41% (36/88),3,0,57% (4/7),14% (1/7),36% (5/14),"['2', '0']",[],[],[],[],19.5
11.08.,Tiafoe F.,2,,,,,,8,1,69%,76% (31/41),44% (8/18),50% (1/2),187 km/h,151 km/h,35% (13/37),52% (15/29),25% (3/12),22,19,63% (5/8),66% (39/59),42% (28/66),54% (67/125),5,0,90% (9/10),30% (3/10),60% (12/20),"['3', '4', '5', '4']","['2', '1']",[],[],[],19.5
11.08.,Humbert U.,0,,,,,,8,1,56%,65% (24/37),48% (14/29),75% (9/12),200 km/h,165 km/h,24% (10/41),56% (10/18),50% (1/2),17,25,77% (10/13),58% (38/66),34% (20/59),46% (58/125),5,1,70% (7/10),10% (1/10),40% (8/20),"['2', '0']",[],[],[],[],1.22
09.08.,Tiafoe F.,2,,,,,,7,3,44%,75% (18/24),47% (14/30),25% (1/4),191 km/h,139 km/h,36% (14/39),66% (23/35),35% (6/17),30,27,71% (12/17),59% (32/54),50% (37/74),54% (69/128),8,0,67% (6/9),60% (6/10),63% (12/19),"['1', '2', '3', '2', '5', '4']","['1', '0', '3', '2', '6', '3']",[],[],[],17.5
09.08.,Carballes Baena R.,0,,,,,,10,4,53%,64% (25/39),34% (12/35),65% (11/17),187 km/h,159 km/h,25% (6/24),53% (16/30),75% (3/4),20,20,75% (3/4),50% (37/74),41% (22/54),46% (59/128),2,2,40% (4/10),33% (3/9),37% (7/19),"['2', '0', '3', '3']","['1', '1']",[],[],[],1.19
03.08.,De Minaur A.,2,,,,,,6,5,42%,77% (30/39),49% (26/53),57% (4/7),189 km/h,152 km/h,26% (11/43),57% (27/47),50% (5/10),23,35,50% (4/8),61% (56/92),42% (38/90),52% (94/182),7,0,79% (11/14),36% (5/14),57% (16/28),"['1', '0', '3', '0']","['1', '0', '2', '1']","['5', '4']",[],[],1.32
03.08.,Tiafoe F.,1,,,,,,10,4,48%,74% (32/43),43% (20/47),50% (5/10),194 km/h,143 km/h,23% (9/39),51% (27/53),43% (3/7),29,49,75% (3/4),58% (52/90),39% (36/92),48% (88/182),3,0,64% (9/14),21% (3/14),43% (12/28),[],"['1', '1', '2', '2', '6', '4']",[],[],[],3.50
01.08.,Tiafoe F.,2,,,,,,10,3,54%,76% (34/45),58% (22/38),50% (2/4),183 km/h,141 km/h,31% (18/58),50% (21/42),33% (4/12),22,36,86% (6/7),67% (56/83),39% (39/100),52% (95/183),8,0,86% (12/14),29% (4/14),57% (16/28),"['3', '2', '4', '3', '6', '3']",[],"['5', '3']",[],[],1.36
01.08.,Vukic A.,1,,,,,,4,2,58%,69% (40/58),50% (21/42),67% (8/12),185 km/h,159 km/h,24% (11/45),42% (16/38),50% (2/4),21,45,70% (7/10),61% (61/100),33% (27/83),48% (88/183),2,0,71% (10/14),14% (2/14),43% (12/28),"['3', '3']","['1', '0']",[],[],[],3.23
30.07.,Tiafoe F.,2,,,,,,10,3,59%,75% (41/55),62% (24/39),78% (7/9),184 km/h,150 km/h,11% (5/45),40% (20/50),33% (1/3),19,32,63% (5/8),69% (65/94),26% (25/95),48% (90/189),6,0,87% (13/15),6% (1/16),45% (14/31),[],"['7', '5']",[],[],[],1.37
30.07.,Watanuki Y.,1,,,,,,17,3,47%,89% (40/45),60% (30/50),67% (2/3),194 km/h,157 km/h,25% (14/55),38% (15/39),22% (2/9),45,35,0% (0/3),74% (70/95),31% (29/94),52% (99/189),4,2,94% (15/16),13% (2/15),55% (17/31),"['3', '1', '5', '1']",[],[],[],[],3.17
26.07.,Shelton B.,2,,,,,,9,1,54%,90% (28/31),65% (17/26),0% (0/1),219 km/h,176 km/h,25% (12/48),54% (22/41),20% (2/10),28,19,67% (6/9),79% (45/57),38% (34/89),54% (79/146),6,0,91% (10/11),18% (2/11),55% (12/22),"['6', '6']","['4', '3']",[],[],[],1.44
26.07.,Tiafoe F.,0,,,,,,8,3,54%,75% (36/48),46% (19/41),80% (8/10),192 km/h,148 km/h,10% (3/31),35% (9/26),100% (1/1),20,27,89% (8/9),62% (55/89),21% (12/57),46% (67/146),4,0,82% (9/11),9% (1/11),45% (10/22),"['6', '5']",[],[],[],[],2.81
24.07.,Tiafoe F.,2,,,,,,8,4,54%,74% (25/34),52% (15/29),80% (4/5),197 km/h,142 km/h,39% (9/23),59% (17/29),50% (4/8),19,28,100% (4/4),63% (40/63),48% (24/50),57% (64/113),5,0,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '3', '1', '5', '1']","['1', '0']",[],[],[],1.67
24.07.,Cobolli F.,0,,,,,,4,6,44%,65% (15/23),41% (12/29),50% (4/8),183 km/h,157 km/h,26% (9/34),48% (14/29),20% (1/5),11,20,67% (2/3),52% (26/50),37% (23/63),43% (49/113),5,2,50% (4/8),11% (1/9),29% (5/17),"['1', '2']",[],[],[],[],2.23
24.07.,Tiafoe F.,2,,,,,,12,3,58%,87% (40/46),62% (21/34),67% (2/3),193 km/h,143 km/h,28% (16/58),38% (10/26),40% (2/5),34,26,62% (8/13),76% (61/80),31% (26/84),53% (87/164),8,0,93% (14/15),13% (2/15),53% (16/30),"['6', '5']",[],"['5', '3']",[],[],1.40
24.07.,Kovacevic A.,1,,,,,,12,3,69%,72% (42/58),62% (16/26),60% (3/5),191 km/h,156 km/h,13% (6/46),38% (13/34),33% (1/3),33,34,50% (2/4),69% (58/84),24% (19/80),47% (77/164),2,1,87% (13/15),7% (1/15),47% (14/30),[],"['2', '0']",[],[],[],2.98
02.07.,Norrie C.,3,,,,,,17,3,76%,76% (69/91),48% (14/29),67% (6/9),30% (21/71),52% (35/67),38% (5/13),48,23,54% (15/28),69% (83/120),41% (56/138),54% (139/258),8,0,86% (18/21),25% (5/20),56% (23/41),3842,[],"['6', '4']","['3', '1', '5', '3']","['4', '3', '6', '5']",[],2.51
02.07.,Tiafoe F.,1,,,,,,20,4,51%,70% (50/71),48% (32/67),62% (8/13),24% (22/91),52% (15/29),33% (3/9),57,33,58% (18/31),59% (82/138),31% (37/120),46% (119/258),2,0,75% (15/20),14% (3/21),44% (18/41),3793,"['3', '2']",[],"['2', '3']","['4', '4']",[],1.54
30.06.,Tiafoe F.,3,,,,,,7,4,54%,88% (37/42),53% (19/36),50% (1/2),29% (10/34),50% (24/48),45% (5/11),25,21,60% (9/15),72% (56/78),41% (34/82),56% (90/160),6,0,93% (13/14),38% (5/13),67% (18/27),1805,"['2', '0', '4', '2']","['2', '1']","['2', '1', '4', '1']",[],[],1.05
30.06.,Moller E.,0,,,,,,2,13,41%,71% (24/34),50% (24/48),55% (6/11),12% (5/42),47% (17/36),50% (1/2),21,32,56% (9/16),59% (48/82),28% (22/78),44% (70/160),4,0,62% (8/13),7% (1/14),33% (9/27),1184,"['2', '3']",[],[],[],[],10.40
25.06.,Eubanks C.,2,,,,,,"['2', '0']",[],[],[],[],-
25.06.,Tiafoe F.,0,,,,,,[],[],[],[],[],-
24.06.,Tsitsipas S.,2,,,,,,"['3', '2']",[],"['4', '4', '7', '6', '10', '7']",[],[],2.05
24.06.,Tiafoe F.,1,,,,,,"['5', '5']",[],"['2', '0']",[],[],1.77
16.06.,Evans D.,2,,,,,,3,3,53%,76% (25/33),59% (17/29),50% (3/6),34% (11/32),58% (19/33),67% (6/9),61% (37/61),53% (35/66),57% (72/127),5,0,70% (7/10),60% (6/10),65% (13/20),"['4', '3', '6', '5']","['1', '0', '4', '1']",[],[],[],3.94
16.06.,Tiafoe F.,0,,,,,,8,3,49%,66% (21/32),42% (14/33),33% (3/9),24% (8/33),41% (12/29),50% (3/6),47% (31/66),39% (24/61),43% (55/127),5,1,40% (4/10),30% (3/10),35% (7/20),"['4', '4']",[],[],[],[],1.26
03.06.,Musetti L.,3,,,,,,8,3,70%,81% (61/75),50% (16/32),67% (2/3),180 km/h,152 km/h,35% (24/69),49% (22/45),45% (5/11),45,32,63% (15/24),72% (77/107),40% (46/114),56% (123/221),8,0,95% (18/19),26% (5/19),61% (23/38),"['2', '0', '6', '2']",[],"['7', '5']","['2', '0', '6', '2']",[],1.25
03.06.,Tiafoe F.,1,,,,,,4,0,61%,65% (45/69),51% (23/45),55% (6/11),187 km/h,140 km/h,19% (14/75),50% (16/32),33% (1/3),33,51,53% (19/36),60% (68/114),28% (30/107),44% (98/221),2,2,74% (14/19),5% (1/19),39% (15/38),[],"['2', '1']",[],[],[],4.06
01.06.,Tiafoe F.,3,,,,,,6,0,68%,72% (47/65),58% (18/31),0% (0/3),196 km/h,141 km/h,29% (16/56),65% (28/43),63% (5/8),40,36,81% (30/37),68% (65/96),44% (44/99),56% (109/195),7,0,81% (13/16),33% (5/15),58% (18/31),"['2', '0', '4', '0']","['4', '3']","['2', '3', '4', '5']",[],[],1.45
01.06.,Altmaier D.,0,,,,,,8,3,57%,71% (40/56),35% (15/43),38% (3/8),183 km/h,156 km/h,28% (18/65),42% (13/31),100% (3/3),28,33,33% (5/15),56% (55/99),32% (31/96),44% (86/195),3,0,67% (10/15),19% (3/16),42% (13/31),"['1', '4']",[],"['3', '1', '4', '2']",[],[],2.83
30.05.,Tiafoe F.,3,,,,,,9,5,52%,77% (40/52),73% (35/48),100% (2/2),200 km/h,154 km/h,26% (15/57),46% (23/50),67% (2/3),36,26,89% (16/18),75% (75/100),36% (38/107),55% (113/207),5,0,100% (16/16),13% (2/15),58% (18/31),[],"['2', '0']","['4', '3']",[],[],1.89
30.05.,Korda S.,0,,,,,,11,5,53%,74% (42/57),54% (27/50),33% (1/3),197 km/h,162 km/h,23% (12/52),27% (13/48),0% (0/2),28,39,61% (11/18),64% (69/107),25% (25/100),45% (94/207),5,0,87% (13/15),0% (0/16),42% (13/31),[],[],[],[],[],1.94
28.05.,Tiafoe F.,3,,,,,,9,2,61%,83% (33/40),73% (19/26),0% (0/0),194 km/h,146 km/h,33% (17/52),61% (20/33),38% (5/13),37,19,81% (21/26),79% (52/66),44% (37/85),59% (89/151),8,0,100% (13/13),38% (5/13),69% (18/26),"['3', '2']","['1', '0', '6', '3']","['2', '0', '5', '1']",[],[],1.50
28.05.,Carreno-Busta P.,0,,,,,,2,3,61%,67% (35/52),39% (13/33),62% (8/13),178 km/h,152 km/h,18% (7/40),27% (7/26),0% (0/0),17,22,67% (10/15),56% (48/85),21% (14/66),41% (62/151),2,0,62% (8/13),0% (0/13),31% (8/26),[],[],[],[],[],2.65
