Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
21.08.2024,Oliel Y.,1,,,,,,2,7,61%,75% (38/51),50% (16/32),56% (5/9),0 km/h,0 km/h,34% (16/47),43% (18/42),60% (3/5),66% (54/82),39% (34/88),52% (88/170),2,1,73% (11/15),20% (3/15),47% (14/30),"['3', '3', '6', '4']","['2', '2']",[],[],[],2.43
19.08.2024,Oliel Y.,2,,,,,,3,2,61%,68% (25/37),54% (13/24),71% (5/7),0 km/h,0 km/h,31% (10/32),62% (13/21),67% (4/6),62% (38/61),43% (23/53),54% (61/114),5,0,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],[],1.68
19.08.2024,Safwat M.,0,,,,,,5,3,60%,69% (22/32),38% (8/21),33% (2/6),0 km/h,0 km/h,32% (12/37),46% (11/24),29% (2/7),57% (30/53),38% (23/61),46% (53/114),5,1,56% (5/9),20% (2/10),37% (7/19),"['1', '4']","['3', '5']",[],[],[],2.13
30.07.2024,Brady P.,2,,,,,,"['7', '5']",[],"['6', '5']",[],[],2.30
30.07.2024,Oliel Y.,1,,,,,,[],[],[],[],[],1.57
24.07.2024,Ghibaudo A.,2,,,,,,"['4', '4']",[],"['2', '0', '4', '0']",[],[],1.75
24.07.2024,Oliel Y.,1,,,,,,"['4', '3']","['2', '0']",[],[],[],1.98
16.07.2024,Ghibaudo A.,2,,,,,,8,3,68%,78% (39/50),48% (11/23),33% (1/3),35% (15/43),50% (10/20),80% (4/5),68% (50/73),40% (25/63),55% (75/136),5,0,85% (11/13),33% (4/12),60% (15/25),"['2', '0', '4', '0']","['2', '5']","['2', '0']",[],[],1.87
16.07.2024,Oliel Y.,1,,,,,,4,1,68%,65% (28/43),50% (10/20),20% (1/5),22% (11/50),52% (12/23),67% (2/3),60% (38/63),32% (23/73),45% (61/136),5,0,67% (8/12),15% (2/13),40% (10/25),[],"['3', '1', '5', '1']",[],[],[],1.87
02.06.2024,Zakharov A.,2,,,,,,5,5,54%,76% (38/50),37% (16/43),33% (2/6),35% (22/62),57% (21/37),44% (4/9),58% (54/93),43% (43/99),51% (97/192),7,0,67% (8/12),33% (4/12),50% (12/24),"['4', '2']","['1', '0', '3', '0', '4', '5']",[],[],[],1.92
