Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Guadalajara (Mexico),hard,header
14.09. 00:40,Trevisan M.,1,2,6,1,,,1,5,73%,49% (23/47),18% (3/17),20% (2/10),31% (13/42),68% (21/31),56% (5/9),7,41% (26/64),47% (34/73),44% (60/137),3,33% (4/12),42% (5/12),38% (9/24),"['2', '5']","['1', '0', '4', '3', '6', '3']","['1', '1']",[],[],2.63
14.09. 00:40,Gadecki O.,2,6,3,6,,,4,6,58%,69% (29/42),32% (10/31),44% (4/9),51% (24/47),82% (14/17),80% (8/10),7,53% (39/73),59% (38/64),56% (77/137),5,58% (7/12),67% (8/12),63% (15/24),"['2', '0', '4', '0', '6', '2']","['3', '3']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],1.50
12.09. 07:35,Trevisan M.,2,6,6,,,,3,4,71%,59% (30/51),48% (10/21),63% (5/8),53% (28/53),53% (9/17),50% (5/10),6,56% (40/72),53% (36/68),54% (76/140),7,70% (7/10),56% (5/9),63% (12/19),"['4', '4', '6', '4']","['2', '0', '4', '0', '5', '1']",[],[],[],2.07
12.09. 07:35,Zarazua R.,0,4,3,,,,0,3,76%,47% (25/53),47% (8/17),50% (5/10),41% (21/51),52% (11/21),38% (3/8),4,47% (32/68),44% (32/72),46% (64/140),2,44% (4/9),30% (3/10),37% (7/19),"['4', '3']","['1', '4', '2', '5']",[],[],[],1.76
11.09. 02:35,Trevisan M.,2,6,6,,,,1,0,71%,70% (21/30),58% (7/12),50% (2/4),45% (18/40),70% (16/23),46% (6/13),7,67% (28/42),54% (34/63),59% (62/105),4,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '4', '3', '6', '3']","['1', '1', '3', '1', '6', '2']",[],[],[],3.53
11.09. 02:35,Dolehide C.,0,3,2,,,,3,5,63%,55% (22/40),30% (7/23),54% (7/13),30% (9/30),42% (5/12),50% (2/4),5,46% (29/63),33% (14/42),41% (43/105),3,33% (3/9),25% (2/8),29% (5/17),"['2', '2']","['1', '0']",[],[],[],1.31
CHALLENGER WOMEN - SINGLES :  Guadalajara (Mexico),hard,header
06.09. 00:05,Trevisan M.,0,1,1,,,,0,4,61%,47% (9/19),33% (4/12),0% (0/3),17% (3/18),25% (3/12),0% (0/0),3,42% (13/31),20% (6/30),31% (19/61),1,40% (2/5),0% (0/6),18% (2/11),[],[],[],[],[],2.69
06.09. 00:05,Rakhimova K.,1,6,3,,,,3,2,60%,83% (15/18),75% (9/12),0% (0/0),53% (10/19),67% (8/12),100% (3/3),7,80% (24/30),58% (18/31),69% (42/61),5,100% (6/6),60% (3/5),82% (9/11),"['3', '1', '5', '1']","['2', '1']",[],[],[],1.48
04.09. 23:50,Trevisan M.,2,6,6,,,,0,9,57%,67% (22/33),48% (12/25),57% (4/7),64% (14/22),56% (18/32),67% (6/9),9,59% (34/58),59% (32/54),59% (66/112),5,67% (6/9),67% (6/9),67% (12/18),"['1', '1', '3', '1', '5', '1']","['2', '1', '4', '3', '6', '3']",[],[],[],1.71
04.09. 23:50,Krunic A.,0,3,3,,,,0,2,41%,36% (8/22),44% (14/32),33% (3/9),33% (11/33),52% (13/25),43% (3/7),4,41% (22/54),41% (24/58),41% (46/112),2,33% (3/9),33% (3/9),33% (6/18),"['1', '0', '2', '5']","['2', '2']",[],[],[],2.16
04.09. 00:10,Trevisan M.,2,3,6,6,,,0,7,55%,69% (29/42),41% (14/34),55% (6/11),42% (31/74),61% (17/28),41% (7/17),6,57% (43/76),47% (48/102),51% (91/178),4,62% (8/13),50% (7/14),56% (15/27),"['1', '0', '3', '4']","['5', '3', '6', '4']","['3', '1', '5', '1', '6', '2']",[],[],1.28
