Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,308/236,180/145,89/73,17/12,0/1,22/5
2024,4/14,4/13,0/1,-,-,-
2023,41/18,30/14,7/2,-,-,4/2
2022,43/16,15/7,9/5,1/1,-,18/3
2021,17/18,17/16,0/2,-,-,-
2020,19/14,12/6,7/8,-,-,-
2019,17/21,10/9,7/10,0/2,-,-
2018,38/26,28/17,3/4,7/4,0/1,-
2017,21/7,16/4,5/3,-,-,-
2016,2/7,2/7,-,-,-,-
2015,27/24,18/19,7/4,2/1,-,-
2014,18/26,11/16,7/9,0/1,-,-
2013,26/17,7/6,15/10,4/1,-,-
2012,19/17,5/7,12/9,2/1,-,-
2011,13/9,2/2,10/6,1/1,-,-
2010,3/2,3/2,-,-,-,-
