Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,8/16,6/12,2/4,-,-,-
2024,7/11,5/8,2/3,-,-,-
2023,1/2,1/1,0/1,-,-,-
2018,0/3,0/3,-,-,-,-
