Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,52/60,29/28,23/32,-,-,-
2024,9/18,7/11,2/7,-,-,-
2023,24/26,14/12,10/14,-,-,-
2022,19/16,8/5,11/11,-,-,-
