Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/47,24/27,13/15,2/4,3/1,-
2024,22/25,15/15,6/7,1/3,-,-
2023,10/13,4/6,2/5,1/1,3/1,-
2022,10/9,5/6,5/3,-,-,-
