Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,333/266,66/56,237/166,30/43,0/1,-
2024,2/8,1/2,1/5,0/1,-,-
2023,28/27,1/2,20/15,7/10,-,-
2022,30/21,11/8,15/8,4/5,-,-
2021,9/11,5/4,4/7,-,-,-
2020,34/41,-,34/41,-,-,-
2019,18/15,2/3,16/11,-,0/1,-
2018,34/21,12/10,20/10,2/1,-,-
2017,30/21,17/10,11/9,2/2,-,-
2016,31/20,1/3,26/14,4/3,-,-
2015,42/23,14/9,27/11,1/3,-,-
2014,29/22,0/1,25/16,4/5,-,-
2013,30/22,0/1,27/15,3/6,-,-
2012,0/2,0/1,-,0/1,-,-
2011,16/10,2/1,11/4,3/5,-,-
2010,0/2,0/1,-,0/1,-,-
