Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,8/19,7/11,1/8,-,-,-
2024,1/3,1/3,-,-,-,-
2023,2/10,1/2,1/8,-,-,-
2022,4/5,4/5,-,-,-,-
2021,1/1,1/1,-,-,-,-
