Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,423/228,254/125,90/49,38/33,23/13,18/8
2024,58/16,38/10,18/5,1/1,-,1/0
2022,29/24,5/7,19/10,2/3,1/3,2/1
2021,37/21,19/9,4/4,4/5,9/3,1/0
2020,24/11,12/4,1/3,6/4,-,5/0
2019,57/31,14/7,19/10,13/10,7/4,4/0
2018,41/31,16/11,16/10,1/6,4/2,4/2
2017,51/28,30/21,9/2,10/1,2/1,0/3
2016,50/27,48/22,1/3,0/1,-,1/1
2015,41/23,40/19,0/2,1/1,-,0/1
2014,32/11,29/11,3/0,-,-,-
2013,3/5,3/4,-,0/1,-,-
