Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Madrid (Spain),clay,header
05.04. 19:30,Griekspoor T.,2,7,7^7,,,,10,1,60%,84% (38/45),53% (16/30),80% (4/5),201 km/h,165 km/h,21% (9/42),52% (15/29),67% (2/3),27,12,62% (8/13),72% (54/75),34% (24/71),53% (78/146),7,0,92% (11/12),17% (2/12),54% (13/24),[],[],[],[],[],1.68
04.04. 22:40,Majchrzak K.,2,7,6,,,,4,0,71%,73% (35/48),50% (10/20),80% (8/10),188 km/h,154 km/h,38% (22/58),65% (17/26),50% (4/8),20,24,71% (10/14),66% (45/68),46% (39/84),55% (84/152),6,0,82% (9/11),36% (4/11),59% (13/22),[],[],[],[],[],2.15
04.04. 22:40,Muller A.,0,5,4,,,,6,4,69%,62% (36/58),35% (9/26),50% (4/8),188 km/h,154 km/h,27% (13/48),50% (10/20),20% (2/10),20,42,56% (5/9),54% (45/84),34% (23/68),45% (68/152),4,0,64% (7/11),18% (2/11),41% (9/22),[],[],[],[],[],1.71
02.04. 20:40,Majchrzak K.,2,7^7,6,,,,3,1,62%,79% (26/33),75% (15/20),0% (0/1),184 km/h,138 km/h,36% (10/28),52% (15/29),38% (3/8),21,25,70% (7/10),77% (41/53),44% (25/57),60% (66/110),9,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],1.82
02.04. 20:40,De Jong J.,0,6^3,1,,,,2,4,49%,64% (18/28),48% (14/29),63% (5/8),177 km/h,150 km/h,21% (7/33),25% (5/20),100% (1/1),10,30,57% (4/7),56% (32/57),23% (12/53),40% (44/110),1,1,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],2.02
01.04. 18:35,Majchrzak K.,2,6,6,,,,4,1,64%,77% (27/35),65% (13/20),67% (2/3),187 km/h,141 km/h,13% (3/23),68% (21/31),43% (3/7),17,24,86% (6/7),73% (40/55),44% (24/54),59% (64/109),6,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],2.97
01.04. 18:35,Munar J.,0,4,3,,,,5,5,43%,87% (20/23),32% (10/31),57% (4/7),203 km/h,159 km/h,23% (8/35),35% (7/20),33% (1/3),16,37,50% (2/4),56% (30/54),27% (15/55),41% (45/109),4,0,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],1.40
ATP - SINGLES :  Marrakech (Morocco) - Qualification,clay,header
31.03. 18:10,Majchrzak K.,2,7,6,,,,5,1,63%,78% (28/36),57% (12/21),67% (2/3),36% (17/47),71% (17/24),22% (4/18),29,17,88% (14/16),70% (40/57),48% (34/71),58% (74/128),7,0,90% (9/10),44% (4/9),68% (13/19),[],[],[],[],[],1.27
31.03. 18:10,Nagal S.,0,5,1,,,,1,2,66%,64% (30/47),29% (7/24),78% (14/18),22% (8/36),43% (9/21),33% (1/3),13,25,50% (3/6),52% (37/71),30% (17/57),42% (54/128),3,0,56% (5/9),10% (1/10),32% (6/19),[],[],[],[],[],3.80
30.03. 18:25,Majchrzak K.,2,6,6,,,,5,2,53%,74% (26/35),52% (16/31),67% (4/6),38% (9/24),55% (16/29),80% (4/5),19,21,82% (9/11),64% (42/66),47% (25/53),56% (67/119),7,0,80% (8/10),44% (4/9),63% (12/19),[],[],[],[],[],1.37
30.03. 18:25,Trungelliti M.,0,4,3,,,,2,4,45%,63% (15/24),45% (13/29),20% (1/5),26% (9/35),48% (15/31),33% (2/6),18,31,67% (4/6),53% (28/53),36% (24/66),44% (52/119),3,1,56% (5/9),20% (2/10),37% (7/19),[],[],[],[],[],3.10
ATP - SINGLES :  Miami (USA) - Qualification,hard,header
18.03. 00:35,Majchrzak K.,1,4,7^7,2,,,3,1,50%,77% (33/43),53% (23/43),43% (3/7),186 km/h,178 km/h,17% (10/58),46% (11/24),100% (1/1),15,28,50% (5/10),65% (56/86),26% (21/82),46% (77/168),1,0,73% (11/15),7% (1/15),40% (12/30),[],[],[],[],[],1.38
18.03. 00:35,Sakamoto R.,2,6,6^5,6,,,15,0,71%,83% (48/58),54% (13/24),0% (0/1),199 km/h,170 km/h,23% (10/43),47% (20/43),57% (4/7),41,44,73% (8/11),74% (61/82),35% (30/86),54% (91/168),9,0,93% (14/15),27% (4/15),60% (18/30),[],[],[],[],[],3.04
ATP - SINGLES :  Indian Wells (USA) - Qualification,hard,header
05.03. 01:35,Majchrzak K.,2,7^7,6,,,,5,0,55%,76% (22/29),71% (17/24),0% (0/2),43% (17/40),58% (21/36),40% (4/10),21,22,50% (3/6),74% (39/53),50% (38/76),60% (77/129),9,0,80% (8/10),40% (4/10),60% (12/20),[],[],[],[],[],1.74
05.03. 01:35,Garin C.,0,6^0,2,,,,6,5,53%,58% (23/40),42% (15/36),60% (6/10),24% (7/29),29% (7/24),100% (2/2),14,43,60% (6/10),50% (38/76),26% (14/53),40% (52/129),1,1,60% (6/10),20% (2/10),40% (8/20),[],[],[],[],[],2.09
04.03. 01:00,Majchrzak K.,2,6,6,,,,4,0,63%,76% (25/33),37% (7/19),78% (7/9),52% (15/29),70% (16/23),55% (6/11),15,19,0% (0/1),62% (32/52),60% (31/52),61% (63/104),7,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],1.38
04.03. 01:00,Svajda T.,0,3,1,,,,0,2,56%,48% (14/29),30% (7/23),45% (5/11),24% (8/33),63% (12/19),22% (2/9),14,30,73% (8/11),40% (21/52),38% (20/52),39% (41/104),3,0,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],3.04
CHALLENGER MEN - SINGLES :  San Diego (USA),hard,header
02.03. 04:20,Majchrzak K.,1,6,1,1,,,2,3,49%,61% (25/41),40% (17/43),60% (9/15),26% (11/43),61% (14/23),50% (2/4),50% (42/84),38% (25/66),45% (67/150),2,0,50% (6/12),18% (2/11),35% (8/23),[],[],[],[],[],2.29
