Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,385/288,246/174,93/73,46/39,0/2,-
2024,19/20,12/12,7/7,-,0/1,-
2023,22/25,18/16,3/7,1/1,0/1,-
2022,46/21,38/18,8/3,-,-,-
2021,31/27,17/17,6/6,8/4,-,-
2020,15/10,7/4,2/2,6/4,-,-
2019,35/27,26/20,8/5,1/2,-,-
2018,39/25,21/14,3/2,15/9,-,-
2017,32/27,24/17,1/3,7/7,-,-
2016,31/16,27/12,0/1,4/3,-,-
2015,31/30,17/15,13/14,1/1,-,-
2014,23/18,12/8,10/7,1/3,-,-
2013,31/21,7/6,22/11,2/4,-,-
2012,10/6,1/2,9/4,-,-,-
2011,8/9,7/7,1/1,0/1,-,-
2010,12/6,12/6,-,-,-,-
