Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.03.,Osorio J. S.,2,,,,,,"['2', '4', '3', '5', '5', '5', '6', '6']","['2', '5']","['2', '0']",[],[],5.40
05.03.,Marrero Curbelo I.,1,,,,,,"['2', '1', '4', '1', '5', '2', '6', '5']","['2', '0', '4', '0']",[],[],[],1.12
28.02.,Fishback R.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['4', '2']",[],[],[],1.55
28.02.,Osorio J. S.,0,,,,,,[],[],[],[],[],2.32
27.02.,Osorio J. S.,2,,,,,,"['5', '3']","['2', '1', '4', '3']",[],[],[],1.59
27.02.,Ratti L.,0,,,,,,[],"['3', '3']",[],[],[],2.24
25.02.,Osorio J. S.,2,,,,,,"['7', '5']","['2', '4']","['4', '2', '7', '5']",[],[],1.09
25.02.,Bermejo F.,1,,,,,,[],"['2', '1', '4', '1']","['3', '4']",[],[],6.15
06.02.,Tudorica A. N.,2,,,,,,"['3', '1', '6', '2']","['2', '0', '6', '2']",[],[],[],1.20
06.02.,Osorio J. S.,0,,,,,,[],[],[],[],[],4.14
04.02.,Osorio J. S.,2,,,,,,"['5', '3']","['5', '4']",[],[],[],1.57
04.02.,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],2.28
31.01.,Wallart E.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '4', '7', '5']",[],[],[],1.26
31.01.,Osorio J. S.,0,,,,,,[],"['3', '2']",[],[],[],3.54
30.01.,Osorio J. S.,2,,,,,,"['3', '1', '4', '2']","['1', '0', '6', '3']",[],[],[],1.03
30.01.,Beltran Rubio M.,0,,,,,,"['2', '3']",[],[],[],[],8.60
29.01.,Osorio J. S.,2,,,,,,"['3', '2']","['3', '2', '5', '2']",[],[],[],1.02
29.01.,Ochoa A.,0,,,,,,[],[],[],[],[],9.50
11.12.2024,Bertran P.,2,,,,,,"['2', '1', '4', '3']","['2', '0', '4', '0']",[],[],[],1.23
11.12.2024,Osorio J. S.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],3.81
05.12.2024,Draxl L.,2,,,,,,"['1', '0']","['2', '1', '4', '1']",[],[],[],1.03
05.12.2024,Osorio J. S.,0,,,,,,[],[],[],[],[],9.30
03.12.2024,Osorio J. S.,2,,,,,,"['4', '4']","['2', '0', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],-
03.12.2024,Pinto L.,1,,,,,,"['1', '0', '6', '5']","['1', '2']",[],[],[],-
28.11.2024,Clark E.,2,,,,,,"['1', '2', '3', '4', '5', '4']","['1', '0']",[],[],[],1.45
28.11.2024,Osorio J. S.,0,,,,,,"['2', '0', '4', '2']",[],[],[],[],2.58
27.11.2024,Osorio J. S.,2,,,,,,"['2', '0']","['2', '1', '6', '5']",[],[],[],1.53
27.11.2024,Perez B.,0,,,,,,[],"['2', '2']",[],[],[],2.37
21.11.2024,Rubio Fierros A. F.,2,,,,,,[],"['2', '0', '5', '1']","['5', '4']",[],[],-
21.11.2024,Osorio J. S.,1,,,,,,"['5', '4']",[],[],[],[],-
20.11.2024,Osorio J. S.,2,,,,,,[],"['1', '2', '4', '3', '6', '3']",[],[],[],1.50
20.11.2024,Perez B.,0,,,,,,[],"['2', '0']",[],[],[],2.44
15.11.2024,Pacheco Mendez R.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '2', '1', '4', '1']",[],[],[],1.08
15.11.2024,Osorio J. S.,0,,,,,,[],"['1', '1']",[],[],[],6.55
14.11.2024,Osorio J. S.,2,,,,,,"['2', '0', '4', '2']","['4', '5']",[],[],[],1.94
14.11.2024,Strode I.,0,,,,,,"['2', '3']","['2', '0']",[],[],[],1.77
13.11.2024,Osorio J. S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '2']","['2', '0', '5', '1']",[],[],1.23
13.11.2024,Vasser O.,1,,,,,,[],"['2', '2', '4', '4']",[],[],[],3.81
15.09.2024,Heredia S.,1,,,,,,9,3,57%,69% (36/52),44% (17/39),55% (6/11),47% (22/47),46% (17/37),67% (4/6),58% (53/91),46% (39/84),53% (92/175),5,0,62% (8/13),33% (4/12),48% (12/25),"['1', '0']","['1', '0', '3', '2']","['2', '0']",[],[],2.31
15.09.2024,Osorio J. S.,1,,,,,,4,3,56%,53% (25/47),54% (20/37),33% (2/6),31% (16/52),56% (22/39),45% (5/11),54% (45/84),42% (38/91),47% (83/175),5,0,67% (8/12),38% (5/13),52% (13/25),"['1', '1', '3', '1', '6', '2']","['1', '1', '3', '3']",[],[],[],1.58
21.08.2024,Soto M.,2,,,,,,"['2', '1']",[],[],[],[],1.07
21.08.2024,Osorio J. S.,0,,,,,,[],[],[],[],[],7.28
14.08.2024,Rodriguez J. A.,2,,,,,,[],"['1', '0', '6', '3']",[],[],[],1.27
14.08.2024,Osorio J. S.,0,,,,,,[],[],[],[],[],3.51
05.08.2024,McCormick T.,2,,,,,,10,4,64%,76% (48/63),56% (20/36),80% (8/10),0 km/h,0 km/h,36% (33/92),56% (20/36),36% (5/14),69% (68/99),41% (53/128),53% (121/227),8,0,88% (14/16),31% (5/16),59% (19/32),"['4', '3']","['2', '0', '6', '2']","['2', '0', '7', '5']",[],[],1.19
05.08.2024,Osorio J. S.,1,,,,,,6,4,72%,64% (59/92),44% (16/36),64% (9/14),0 km/h,0 km/h,24% (15/63),44% (16/36),20% (2/10),59% (75/128),31% (31/99),47% (106/227),2,1,69% (11/16),13% (2/16),41% (13/32),"['5', '5']",[],"['4', '5']",[],[],4.40
