Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,25/10,8/2,17/8,-,-,-
2024,14/7,8/2,6/5,-,-,-
2023,7/2,-,7/2,-,-,-
2022,4/1,-,4/1,-,-,-
