Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,368/308,220/173,63/51,85/79,0/5,-
2024,40/19,27/13,13/6,-,-,-
2023,13/34,4/17,5/4,4/10,0/3,-
2022,54/37,32/21,-,22/15,0/1,-
2021,44/33,19/14,2/3,23/16,-,-
2020,18/10,14/8,0/1,4/1,-,-
2019,26/30,16/16,0/2,10/12,-,-
2018,59/27,40/12,16/11,3/4,-,-
2017,35/22,21/12,14/8,0/2,-,-
2016,26/26,19/18,-,7/8,-,-
2015,18/28,13/18,2/4,3/5,0/1,-
2014,23/27,8/13,6/8,9/6,-,-
2013,12/11,7/7,5/4,-,-,-
2012,0/1,0/1,-,-,-,-
2011,0/2,0/2,-,-,-,-
2010,0/1,0/1,-,-,-,-
