Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/13,14/6,10/5,0/1,-,4/1
2024,1/1,-,1/1,-,-,-
2023,14/8,9/5,1/1,0/1,-,4/1
2022,5/1,5/1,-,-,-,-
2021,8/3,-,8/3,-,-,-
