Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,312/154,129/63,112/49,50/28,19/13,2/1
2024,12/5,4/2,6/2,-,2/1,-
2023,38/13,10/3,28/9,-,0/1,-
2022,11/12,3/3,3/2,4/4,0/2,1/1
2021,19/9,5/3,10/4,-,4/2,-
2020,15/11,6/3,8/7,1/1,-,-
2019,41/15,6/3,23/8,7/2,4/2,1/0
2018,33/11,11/4,5/2,14/2,3/3,-
2017,25/20,14/12,3/2,2/4,6/2,-
2016,44/19,22/8,17/7,5/4,-,-
2015,45/25,28/14,2/2,15/9,-,-
2014,22/10,13/5,7/4,2/1,-,-
2013,7/3,7/3,-,-,-,-
2012,0/1,-,-,0/1,-,-
