Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,99/115,61/75,37/39,-,-,1/1
2023,17/21,9/14,8/7,-,-,-
2022,15/21,10/17,5/3,-,-,0/1
2021,19/24,14/15,5/9,-,-,-
2020,11/14,5/6,6/8,-,-,-
2019,27/24,17/15,9/9,-,-,1/0
2018,10/10,6/7,4/3,-,-,-
2015,0/1,0/1,-,-,-,-
