Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,453/263,292/204,49/36,9/12,-,103/11
2024,18/6,8/3,0/1,-,-,10/2
2023,67/18,10/9,10/4,-,-,47/5
2022,64/18,17/13,4/2,-,-,43/3
2021,23/8,15/6,8/2,-,-,-
2020,20/14,16/11,1/2,-,-,3/1
2019,14/10,14/10,-,-,-,-
2018,33/31,27/28,-,6/3,-,-
2017,56/27,56/26,-,0/1,-,-
2016,23/24,18/20,5/2,0/2,-,-
2015,43/18,43/18,-,-,-,-
2014,21/10,17/7,4/3,-,-,-
2013,6/5,5/4,1/1,-,-,-
2012,1/1,1/1,-,-,-,-
2011,3/5,2/4,-,1/1,-,-
2010,23/19,15/11,7/6,1/2,-,-
2009,20/22,11/11,9/9,0/2,-,-
2008,17/19,17/18,0/1,-,-,-
2007,1/6,0/2,0/3,1/1,-,-
2006,0/2,0/2,-,-,-,-
