Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M25 Bakersfield,hard,header
ITF MEN - SINGLES :  M25 Austin,hard,header
10.11.2022,Rajski M.,0,6^4,4,,,,['-'],['-'],['-'],['-'],['-'],3.54
10.11.2022,Pinnington Jones J.,2,7^7,6,,,,['-'],['-'],['-'],['-'],['-'],1.27
ITF MEN - SINGLES :  M15 Albuquerque,hard,header
ITF MEN - SINGLES :  M25 Poznan (Poland),clay,header
26.08.2022,Rajski M.,0,3,4,,,,['-'],['-'],['-'],['-'],['-'],3.52
26.08.2022,Molleker R.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.29
25.08.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.22
25.08.2022,Szajrych J.,0,3,1,,,,['-'],['-'],['-'],['-'],['-'],4.04
24.08.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.01
24.08.2022,Krattiger J.,0,1,3,,,,['-'],['-'],['-'],['-'],['-'],16.00
ITF MEN - SINGLES :  M15 Malmo (Sweden),clay,header
19.08.2022,Rajski M.,0,4,3,,,,['-'],['-'],['-'],['-'],['-'],2.03
19.08.2022,Veldheer M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.75
18.08.2022,Rajski M.,2,6,7^7,,,,['-'],['-'],['-'],['-'],['-'],1.24
18.08.2022,Henning B.,0,3,6^1,,,,['-'],['-'],['-'],['-'],['-'],3.78
17.08.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.70
17.08.2022,Lemstra K.,0,3,2,,,,['-'],['-'],['-'],['-'],['-'],2.05
ITF MEN - SINGLES :  M15 Parnu (Estonia),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
27.07.2022,Rajski M.,0,1,1,,,,['-'],['-'],['-'],['-'],['-'],2.32
27.07.2022,Juszczak P.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.59
ITF MEN - SINGLES :  M15 Innsbruck (Austria),clay,header
19.07.2022,Rajski M.,0,3,1,,,,['-'],['-'],['-'],['-'],['-'],1.76
19.07.2022,Benitez Chavarriaga J. M.,1,6,2,,,,['-'],['-'],['-'],['-'],['-'],2.03
ITF MEN - SINGLES :  M15 Wroclaw (Poland),clay,header
02.07.2022,Rajski M.,0,3,2,,,,['-'],['-'],['-'],['-'],['-'],2.44
02.07.2022,Kasnikowski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.56
01.07.2022,Rajski M.,2,7,6,,,,['-'],['-'],['-'],['-'],['-'],2.13
01.07.2022,Kielan S.,0,5,1,,,,['-'],['-'],['-'],['-'],['-'],1.72
30.06.2022,Rajski M.,2,6,7,,,,['-'],['-'],['-'],['-'],['-'],1.18
30.06.2022,Vlkovsky V.,0,2,5,,,,['-'],['-'],['-'],['-'],['-'],4.76
29.06.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.05
29.06.2022,Bienkiewicz J.,0,4,3,,,,['-'],['-'],['-'],['-'],['-'],9.10
ITF MEN - SINGLES :  M15 Bytom (Poland),clay,header
09.06.2022,Rajski M.,1,1,6,5,,,['-'],['-'],['-'],['-'],['-'],1.89
09.06.2022,Mensik J.,2,6,4,7,,,['-'],['-'],['-'],['-'],['-'],1.88
08.06.2022,Rajski M.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.08
