Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,47/37,24/19,23/18,-,-,-
2024,21/14,16/11,5/3,-,-,-
2023,18/15,0/1,18/14,-,-,-
2022,6/6,6/6,-,-,-,-
2021,2/2,2/1,0/1,-,-,-
