Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,501/322,203/160,256/129,33/27,5/4,4/2
2024,27/19,9/9,18/10,-,-,-
2023,20/35,9/15,5/13,4/6,2/1,-
2022,34/26,15/12,11/10,8/3,0/1,-
2021,28/28,8/10,11/10,7/7,2/1,-
2020,26/19,12/8,12/7,1/4,-,1/0
2019,36/22,18/14,14/5,4/3,-,-
2018,55/18,14/6,34/9,7/3,-,-
2017,48/21,30/12,16/9,1/0,-,1/0
2016,42/30,13/20,28/9,-,1/1,-
2015,63/32,25/19,37/12,-,-,1/1
2014,72/27,29/13,41/12,1/1,-,1/1
2013,26/24,8/9,18/15,-,-,-
2012,20/11,13/8,7/3,-,-,-
2011,1/5,0/3,1/2,-,-,-
2010,3/5,0/2,3/3,-,-,-
