Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/78,40/75,2/3,-,-,-
2024,9/16,8/14,1/2,-,-,-
2023,9/23,9/23,-,-,-,-
2022,17/23,16/22,1/1,-,-,-
2021,6/5,6/5,-,-,-,-
2019,1/4,1/4,-,-,-,-
2018,0/6,0/6,-,-,-,-
2017,0/1,0/1,-,-,-,-
