Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,378/216,180/76,103/89,76/33,17/18,2/0
2024,22/23,10/7,8/13,-,4/3,-
2023,29/25,5/4,18/16,1/1,3/4,2/0
2022,34/22,8/5,8/10,13/3,5/4,-
2021,47/15,31/4,5/6,9/3,2/2,-
2020,11/11,2/3,2/6,7/2,-,-
2019,34/26,18/11,14/12,1/2,1/1,-
2018,44/19,31/12,13/6,-,0/1,-
2017,47/19,37/11,5/4,5/4,-,-
2016,6/6,5/4,1/2,-,-,-
2015,38/21,17/5,9/7,10/6,2/3,-
2014,29/17,15/8,3/2,11/7,-,-
2013,32/10,0/1,13/4,19/5,-,-
2012,4/1,-,4/1,-,-,-
2011,1/1,1/1,-,-,-,-
