Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,478/384,54/66,272/200,105/67,36/37,11/14
2024,21/16,0/1,9/7,12/6,0/2,-
2023,18/24,1/1,7/11,10/10,0/2,-
2022,25/24,1/0,10/13,11/7,3/4,-
2021,25/18,2/4,3/5,18/8,2/1,-
2020,1/5,0/1,1/3,-,-,0/1
2019,34/23,0/4,21/12,12/4,1/3,-
2018,28/18,-,22/12,6/5,0/1,-
2017,15/13,2/2,13/9,0/2,-,-
2016,10/15,-,9/11,-,1/4,-
2015,33/26,5/5,23/14,0/2,4/3,1/2
2014,17/27,2/6,5/12,9/4,1/3,0/2
2013,27/27,3/4,18/16,0/1,3/3,3/3
2012,49/31,7/6,26/17,1/2,13/4,2/2
2011,32/26,6/6,24/15,2/3,0/2,-
2010,19/11,-,7/9,12/2,-,-
2009,35/28,1/4,26/16,1/3,7/3,0/2
2008,27/24,3/6,19/10,3/4,1/2,1/2
2007,20/14,4/6,12/6,4/2,-,-
2006,36/8,11/5,17/2,4/1,-,4/0
2005,6/6,6/5,-,0/1,-,-
