Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,47/49,33/32,14/15,0/2,-,-
2024,14/19,14/19,-,-,-,-
2023,23/18,14/10,9/7,0/1,-,-
2022,9/8,5/3,4/4,0/1,-,-
2021,1/4,-,1/4,-,-,-
