Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,500/314,190/124,148/102,110/47,41/33,11/8
2024,17/18,3/5,9/8,-,5/5,-
2023,34/21,2/5,14/9,10/1,8/4,0/2
2022,31/25,4/7,12/10,9/4,4/4,2/0
2021,46/21,9/4,15/11,14/2,8/4,-
2020,16/14,7/4,4/8,0/1,-,5/1
2019,34/22,4/5,23/11,-,5/5,2/1
2018,33/25,9/7,16/11,6/2,2/3,0/2
2017,19/26,1/6,8/11,8/4,2/3,0/2
2016,43/22,12/5,15/10,9/4,5/3,2/0
2015,38/21,13/11,17/5,8/5,-,-
2014,34/26,11/11,3/4,18/9,2/2,-
2013,63/19,34/9,11/1,18/9,-,-
2012,17/13,11/8,-,6/5,-,-
2011,37/20,32/16,1/3,4/1,-,-
2010,27/13,27/13,-,-,-,-
2009,8/6,8/6,-,-,-,-
2008,3/2,3/2,-,-,-,-
