Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,119/79,73/54,40/18,6/7,-,-
2024,17/5,-,16/3,1/2,-,-
2023,21/26,19/23,2/3,-,-,-
2022,39/23,28/19,10/3,1/1,-,-
2021,32/17,26/11,6/6,-,-,-
2020,6/4,0/1,6/3,-,-,-
2019,2/4,-,-,2/4,-,-
2018,2/0,-,-,2/0,-,-
