Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,115/82,43/40,24/17,48/25,-,-
2024,13/19,7/10,1/2,5/7,-,-
2023,42/23,15/12,2/2,25/9,-,-
2022,36/21,16/13,8/3,12/5,-,-
2021,23/17,5/5,12/8,6/4,-,-
2020,1/2,-,1/2,-,-,-
