Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M25 Nakhon Si Thammarat 2 (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Tyler (USA),hard,header
06.06. 04:40,Moriya H.,0,6^5,5,,,,3,6,46%,78% (35/45),38% (20/53),64% (7/11),40% (20/50),36% (10/28),43% (3/7),9,55% (54/98),39% (30/77),48% (84/175),3,67% (8/12),25% (3/12),46% (11/24),"['1', '2', '4', '5']","['4', '4']",[],[],[],2.84
06.06. 04:40,Quinn E.,2,7^7,7,,,,2,2,64%,60% (30/50),64% (18/28),57% (4/7),22% (10/45),62% (33/53),36% (4/11),7,61% (47/77),45% (44/98),52% (91/175),3,75% (9/12),33% (4/12),54% (13/24),"['2', '0', '4', '2']","['1', '0', '6', '5']",[],[],[],1.40
04.06. 03:05,Moriya H.,1,7,1,,,,1,2,42%,69% (11/16),50% (11/22),25% (1/4),56% (14/25),54% (7/13),57% (4/7),8,58% (22/38),61% (23/38),59% (45/76),4,57% (4/7),67% (4/6),62% (8/13),"['1', '1', '4', '4', '5', '5', '7', '5']",[],[],[],[],3.80
04.06. 03:05,Kwiatkowski T. S.,0,5,0,,,,1,2,66%,44% (11/25),31% (4/13),43% (3/7),31% (5/16),50% (11/22),75% (3/4),4,39% (15/38),42% (16/38),41% (31/76),2,33% (2/6),43% (3/7),38% (5/13),"['1', '0', '4', '3', '5', '4']",[],[],[],[],1.27
CHALLENGER MEN - SINGLES :  Little Rock (USA),hard,header
27.05. 23:55,Moriya H.,0,2,3,,,,1,1,54%,56% (14/25),57% (12/21),50% (3/6),12% (3/25),23% (5/22),0% (0/3),5,57% (26/46),15% (7/46),37% (34/92),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.58
27.05. 23:55,Galarneau A.,2,6,6,,,,1,2,53%,88% (22/25),77% (17/22),100% (3/3),44% (11/25),43% (9/21),50% (3/6),15,85% (39/46),43% (20/46),64% (59/92),5,100% (9/9),38% (3/8),71% (12/17),"['4', '2', '6', '2']","['3', '1']",[],[],[],1.27
CHALLENGER MEN - SINGLES :  Taipei (Taiwan),hard,header
14.05. 18:45,Moriya H.,0,3,6^4,,,,0,3,62%,60% (24/40),48% (12/25),33% (2/6),40% (17/42),30% (10/33),22% (2/9),5,55% (36/65),36% (28/77),45% (64/142),2,64% (7/11),20% (2/10),43% (9/21),"['2', '2']","['1', '0']",[],[],[],2.18
14.05. 18:45,Marchenko I.,2,6,7^7,,,,4,1,56%,60% (25/42),70% (23/33),78% (7/9),40% (16/40),52% (13/25),67% (4/6),6,64% (49/77),45% (29/65),55% (78/142),3,80% (8/10),36% (4/11),57% (12/21),"['2', '1', '3', '2', '6', '3']","['3', '3']",[],[],[],1.65
CHALLENGER MEN - SINGLES :  Wuxi (China),hard,header
07.05. 08:40,Moriya H.,0,3,5,,,,1,3,55%,63% (22/35),34% (10/29),40% (4/10),22% (8/36),68% (19/28),50% (3/6),5,50% (32/64),42% (27/64),46% (59/128),4,45% (5/11),30% (3/10),38% (8/21),"['1', '1']","['2', '5', '4', '5']",[],[],[],2.18
07.05. 08:40,Gerasimov E.,2,6,7,,,,7,8,56%,78% (28/36),32% (9/28),50% (3/6),37% (13/35),66% (19/29),60% (6/10),10,58% (37/64),50% (32/64),54% (69/128),5,70% (7/10),55% (6/11),62% (13/21),"['1', '0', '3', '2', '6', '3']","['2', '0', '5', '1', '7', '5']",[],[],[],1.65
CHALLENGER MEN - SINGLES :  Guangzhou (China),hard,header
30.04. 14:00,Moriya H.,0,3,3,,,,1,3,64%,52% (28/54),45% (14/31),75% (12/16),19% (6/31),53% (16/30),25% (1/4),4,49% (42/85),36% (22/61),44% (64/146),2,56% (5/9),11% (1/9),33% (6/18),"['1', '2']",[],[],[],[],4.40
30.04. 14:00,Cressy M.,2,6,6,,,,10,14,51%,81% (25/31),47% (14/30),75% (3/4),48% (26/54),55% (17/31),25% (4/16),8,64% (39/61),51% (43/85),56% (82/146),3,89% (8/9),44% (4/9),67% (12/18),"['2', '0', '5', '3']","['3', '2', '6', '3']",[],[],[],1.19
CHALLENGER MEN - SINGLES :  Guangzhou (China) - Qualification,hard,header
29.04. 11:40,Moriya H.,2,6,6,,,,2,3,63%,79% (31/39),39% (9/23),86% (6/7),50% (13/26),41% (12/29),40% (4/10),7,65% (40/62),45% (25/55),56% (65/117),5,89% (8/9),44% (4/9),67% (12/18),"['1', '2', '5', '4']","['1', '0', '5', '2']",[],[],[],2.59
29.04. 11:40,Donskoy E.,0,4,2,,,,2,5,47%,50% (13/26),59% (17/29),60% (6/10),21% (8/39),61% (14/23),14% (1/7),5,55% (30/55),35% (22/62),44% (52/117),2,56% (5/9),11% (1/9),33% (6/18),"['2', '0']",[],[],[],[],1.47
28.04. 15:05,Moriya H.,2,6,6,,,,0,2,59%,66% (19/29),65% (13/20),67% (2/3),55% (17/31),67% (14/21),45% (5/11),6,65% (32/49),60% (31/52),62% (63/101),7,88% (7/8),71% (5/7),80% (12/15),"['2', '2', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.50
28.04. 15:05,Xiao L.,0,3,0,,,,1,2,60%,45% (14/31),33% (7/21),55% (6/11),34% (10/29),35% (7/20),33% (1/3),5,40% (21/52),35% (17/49),38% (38/101),2,29% (2/7),13% (1/8),20% (3/15),"['2', '1']",[],[],[],[],2.50
CHALLENGER MEN - SINGLES :  Shenzhen 3 (China),hard,header
24.04. 09:35,Moriya H.,0,2,3,,,,0,3,66%,55% (18/33),24% (4/17),38% (3/8),35% (12/34),46% (16/35),17% (2/12),4,45% (23/51),40% (28/70),42% (51/121),2,38% (3/8),22% (2/9),29% (5/17),"['2', '5']","['3', '4']",[],[],[],0
24.04. 09:35,Kachmazov A.,2,6,6,,,,9,3,49%,65% (22/34),54% (19/35),83% (10/12),45% (15/33),76% (13/17),63% (5/8),9,60% (42/70),55% (28/51),58% (70/121),5,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '4', '0', '6', '2']","['4', '2', '5', '3']",[],[],[],0
