Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,522/469,30/36,372/316,75/81,45/36,-
2024,22/23,-,22/21,-,0/2,-
2023,31/28,-,31/27,0/1,-,-
2022,27/30,-,18/19,8/10,1/1,-
2021,22/28,-,13/17,9/11,-,-
2020,7/15,1/2,5/5,1/8,-,-
2019,29/32,0/1,25/23,3/5,1/3,-
2018,42/29,-,31/20,8/7,3/2,-
2017,23/35,0/1,20/24,0/6,3/4,-
2016,30/32,0/6,21/17,6/5,3/4,-
2015,25/34,0/1,17/24,4/5,4/4,-
2014,36/34,0/2,28/23,5/5,3/4,-
2013,34/32,0/2,21/22,9/5,4/3,-
2012,53/30,3/4,29/19,14/5,7/2,-
2011,50/28,10/7,31/16,1/2,8/3,-
2010,43/27,14/8,25/16,4/3,-,-
2009,36/23,2/2,25/17,2/2,7/2,-
2008,11/7,-,9/5,1/1,1/1,-
2007,1/2,-,1/1,-,0/1,-
