https://www.tennisexplorer.com/res/img/player/YcmVwEdA-lx8ifqQ1.jpeg
Moriya Hiroki
Country: Japan
Height / Weight: 168 cm / 65 kg
Age: 33 (16. 10. 1990)
Current/Highest rank - singles: 403. / 143.
Current/Highest rank - doubles: 827. / 224.
Sex: man
Plays: right
