Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,170/170,59/63,96/78,13/23,-,2/6
2024,14/22,2/4,12/16,-,-,0/2
2023,14/15,8/9,6/4,-,-,0/2
2022,41/32,11/7,30/23,0/1,-,0/1
2021,2/14,0/6,2/7,0/1,-,-
2020,16/11,-,9/6,5/5,-,2/0
2019,33/24,19/13,14/9,0/1,-,0/1
2018,27/21,9/11,15/7,3/3,-,-
2017,19/18,10/9,6/4,3/5,-,-
2016,3/6,0/1,2/1,1/4,-,-
2015,0/3,0/1,0/1,0/1,-,-
2014,1/4,0/2,-,1/2,-,-
