Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,617/410,492/299,89/72,19/27,8/12,9/0
2024,46/24,34/14,10/8,1/1,1/1,-
2023,44/31,36/21,7/8,1/1,0/1,-
2022,27/20,20/15,4/3,3/2,-,-
2021,27/16,20/11,4/2,0/2,3/1,-
2020,20/17,6/11,5/2,0/4,-,9/0
2019,26/21,18/14,6/4,2/2,0/1,-
2018,55/30,48/18,2/4,5/7,0/1,-
2017,28/24,18/12,7/6,2/4,1/2,-
2016,38/25,17/10,20/12,1/2,0/1,-
2015,29/25,14/14,11/9,4/2,-,-
2014,44/23,43/21,1/2,-,-,-
2013,24/29,24/27,0/1,-,0/1,-
2012,46/28,41/23,2/2,-,3/3,-
2011,40/25,35/22,5/3,-,-,-
2010,35/19,33/16,2/3,-,-,-
2009,40/25,37/22,3/3,-,-,-
2008,35/18,35/18,-,-,-,-
2007,12/9,12/9,-,-,-,-
2006,1/1,1/1,-,-,-,-
